geneSymbol,TR1,TR2,TR3,WR1,WR2,WR3,Entrez
PMF1,105.733636,113.547386,111.540164,136.265675,139.442318,141.085629,11243
PMF1-BGLAP,6.575492,4.835865,5.325682,3.299622,7.656788,5.959791,100527963
PMFBP1,1.112736,0.593851,1.045627,0.971542,0.896008,0.762725,83449
PML,5.806322,4.829969,5.104482,4.64969,5.126499,5.601714,5371
PMM1,35.546325,37.574858,36.263372,31.140988,31.420587,32.947573,5372
PMM2,34.732127,37.668217,35.063881,37.710689,38.683705,39.031253,5373
PMP22,21.170781,21.427652,21.77728,24.643405,25.215498,24.955454,5376
PMPCA,106.04994,106.358747,106.649205,116.908639,119.270651,117.876657,23203
PMPCB,47.777249,51.23989,48.896757,53.425598,54.510708,52.225888,9512
PMS1,17.285231,16.526817,16.410974,22.173462,21.884367,20.763072,5378
PMS2,8.262382,8.264011,8.144562,8.706108,8.65529,8.338687,5395
PMS2CL,7.430246,9.315441,7.774231,8.523297,8.930937,8.717099,441194
PMS2P1,6.046298,6.12042,6.271828,8.835745,8.280261,8.528005,5379
PMS2P2,0.476718,1.088321,1.077503,0.831892,0.737115,1.485958,5380
PMS2P3,7.403022,8.163709,7.837988,6.642852,7.293015,7.95984,5387
PMS2P4,3.3257,2.185017,3.610689,2.25531,3.261766,2.555451,5382
PMS2P5,3.566779,2.315516,2.96712,2.465349,3.423164,2.587866,5383
PMS2P7,2.894187,4.497912,2.148383,3.270324,4.433639,4.643313,100101440
PMS2P9,4.045047,3.637677,3.857726,2.275115,3.330479,2.888277,100132832
PMVK,32.466974,37.167357,34.273391,38.002309,38.659332,39.646889,10654
PNCK,0.09414,0.24603,0.095467,0,0,0,139728
PNISR,63.028429,63.198437,65.009247,60.16311,56.041577,55.45507,25957
PNKD,123.153933,116.667549,119.035347,107.017982,106.770662,118.847894,25953
PNKP,41.429133,39.261353,40.879265,31.575136,32.046507,34.927924,11284
PNKY,0.043858,0.040906,0.039151,0.121376,0,0.050074,105447646
PNLDC1,0.20652,0.072312,0.215061,0.165462,0.274915,0.203445,154197
PNLIPRP3,0,0.032076,0.028031,0,0,0.039275,119548
PNMA1,21.256629,21.12182,19.478617,18.929992,19.074926,18.949531,9240
PNMA2,0.397329,0.410686,0.533647,0.316706,0.505255,0.38666,10687
PNMA3,28.486364,28.821249,29.766217,30.453164,30.988076,31.898554,29944
PNMA6A,11.246877,11.096049,10.447924,9.072511,9.564184,9.272648,84968
PNMA6E,0,0,0,0.036188,0,0,649238
PNMA6F,0.01916,0,0,0.013266,0,0,105373377
PNMA8A,0.036086,0.033755,0,0.049972,0.042494,0,55228
PNMT,0.356554,0.358732,0.346053,0.601362,0.651471,0.109626,5409
PNN,102.202464,102.97048,104.95886,131.67338,130.708261,126.617662,5411
PNO1,21.541516,20.632624,22.877142,39.631544,41.283846,39.112449,56902
PNP,68.982782,70.262947,69.903214,57.984792,60.522879,60.63584,4860
PNPLA1,0.054872,0,0.024477,0.037983,0.032295,0.031397,285848
PNPLA2,18.96819,18.033139,16.94183,13.938253,15.168073,14.924807,57104
PNPLA3,38.948277,36.086338,35.396714,15.44435,17.439171,16.685638,80339
PNPLA4,3.341846,3.306545,2.961451,3.231151,3.310501,2.820006,8228
PNPLA6,25.061881,25.619608,24.675803,19.396294,21.385375,21.294583,10908
PNPLA7,0.112965,0.137027,0.154853,0.017657,0.108525,0,375775
PNPLA8,13.618841,15.694225,15.128078,9.814795,9.408809,9.035301,50640
PNPO,4.632214,4.504543,4.787202,5.511646,5.526931,5.497653,55163
PNPT1,20.601145,22.737163,22.714868,34.452699,34.199651,34.421874,87178
PNRC1,55.303611,51.099867,44.86977,22.097507,19.272126,25.252426,10957
PNRC2,98.311145,97.978931,96.441707,128.831304,125.828944,120.368093,55629
POC1A,10.959684,12.484553,12.816792,18.475603,22.538991,20.19538,25886
POC1B,8.598226,8.906358,8.59276,11.359895,9.732414,10.708424,282809
POC1B-AS1,0.326187,0.19021,0.254751,0.310336,0.239835,0.279433,109729146
POC1B-GALNT4,0.584982,0.875367,0.503392,1.1789,0.697297,1.369052,100528030
POC5,9.709248,9.915566,8.723182,12.500531,11.502141,11.562063,134359
PODN,21.564087,20.762389,21.468333,9.246604,10.310453,10.628546,127435
PODNL1,0.042533,0,0,0,0,0,79883
PODXL,1.729902,1.55301,1.695573,1.641971,1.696024,1.612551,5420
PODXL2,26.426132,24.20512,23.406313,37.099826,37.300633,38.224059,50512
POFUT1,56.775654,56.117366,56.675777,63.118915,62.099272,61.306549,23509
POFUT2,36.525039,36.787044,33.527788,24.370088,23.443738,30.896651,23275
POGK,24.760753,25.583141,24.633573,29.029625,29.213036,27.221067,57645
POGLUT1,12.007587,11.164899,11.155574,13.160089,13.801393,12.76988,56983
POGZ,24.806916,24.577782,24.113407,23.007374,22.349704,23.345404,23126
POLA1,19.477397,20.989278,19.691348,29.086762,30.012709,29.729514,5422
POLA2,23.449551,23.315624,22.96933,31.262903,33.00872,30.601212,23649
POLB,30.014143,28.730639,29.2054,36.44334,36.288561,33.7974,5423
POLD1,52.566516,53.922336,50.489678,56.112258,54.452922,66.548132,5424
POLD2,131.58109,133.904103,131.321279,162.445416,162.141387,165.16071,5425
POLD3,15.997119,14.089807,14.381793,21.872667,20.80169,20.113117,10714
POLD4,88.107034,88.767356,93.008569,41.69324,39.571113,44.525894,57804
POLDIP2,102.245342,97.307538,100.478411,120.795042,123.289533,120.620568,26073
POLDIP3,49.335703,49.200773,53.600905,55.969427,61.96329,55.37178,84271
POLE,47.246442,49.820144,49.855284,56.080118,55.773275,57.135515,5426
POLE2,9.378427,9.187631,9.180048,14.080019,13.767343,15.681,5427
POLE3,50.766305,48.606405,48.815734,81.530049,82.451029,76.903018,54107
POLE4,63.230607,61.83904,57.276057,61.801201,65.852438,74.799199,56655
POLG,49.469641,47.03809,48.010229,45.755877,44.588533,46.33858,5428
POLG2,8.910969,8.318055,8.70285,10.172206,10.994009,10.909138,11232
POLH,5.580318,6.160827,5.809326,7.470006,7.853156,7.906945,5429
POLI,6.978679,7.279689,7.58917,4.894509,5.579447,6.253894,11201
POLK,5.884197,6.103058,5.514487,5.779258,5.71835,5.467281,51426
POLL,14.929931,16.616403,17.369398,16.01372,14.821606,15.187378,27343
POLM,11.303584,10.476954,11.686014,8.006565,6.575098,8.3764,27434
POLN,1.836912,1.893095,2.280389,2.649218,2.979931,2.005515,353497
POLQ,15.992124,15.977859,15.499907,23.248664,23.177559,23.125412,10721
POLR1A,16.638786,16.913566,16.256798,24.388731,24.93126,24.436272,25885
POLR1B,16.454348,16.389847,15.781157,27.478112,28.320707,27.314121,84172
POLR1C,21.555532,23.530958,20.181055,28.823205,27.787195,30.684391,9533
POLR1D,84.910802,83.030505,87.673845,85.790712,85.333934,82.481225,51082
POLR1E,37.7289,35.770463,37.569489,60.434006,59.501817,58.900161,64425
POLR2A,79.264428,74.584191,79.323893,93.316963,92.739187,93.245819,5430
POLR2B,87.104432,85.166782,87.382339,89.310788,88.40302,87.109426,5431
POLR2C,101.761829,98.792187,103.912816,113.270605,113.916688,108.457755,5432
POLR2D,32.852305,33.728735,34.779385,43.176703,43.996904,43.774157,5433
POLR2E,221.014547,214.20264,214.242972,257.230529,265.627178,267.038898,5434
POLR2F,28.231105,29.814358,28.92106,35.55218,37.314459,37.031102,5435
POLR2G,91.409578,99.258912,95.808519,110.913042,111.545735,106.60922,5436
POLR2H,43.173193,46.275156,48.531467,51.801467,51.188381,56.409615,5437
POLR2I,32.679833,34.584518,34.318318,36.874726,41.16881,38.42188,5438
POLR2J,103.362713,97.113129,94.217549,120.22797,111.809651,119.775241,5439
POLR2J2,8.873761,9.476297,10.779777,11.731101,9.988191,11.308367,246721
POLR2J3,14.866299,20.94671,13.255931,16.470218,15.929444,16.316486,548644
POLR2J4,1.412554,1.515729,1.462672,1.439535,1.672593,1.334576,84820
POLR2K,60.484944,57.432638,59.384577,68.710562,70.718069,67.069239,5440
POLR2L,208.856151,203.20516,196.149797,238.829935,239.636663,265.691066,5441
