Entrez,TR1,TR2,TR3,WR1,WR2,WR3
1152,13.6591442804318,13.7321497034015,13.5471828383653,10.5000938088945,10.3466510047047,11.2510295671778
1158,0.304278099041045,0.0965924923028277,0.446247897206202,0.258175177568445,0,0
548596,2.89696842191673,2.67049556402393,2.02388916030423,4.20466700952007,2.81121721637339,2.39706575511454
1159,0,0.654531507618227,0.36939782611941,0.559407399538652,0.696369825610039,2.38485142879722
57393,1.08654652741253,1.67696461239169,0.97005380541869,0.518380728308436,0.583859849639538,0.524600005925261
55907,3.52361977619701,3.55541865770693,3.45952237036116,3.51794573284952,3.40566741883395,3.32859553069303
51727,6.18664234490026,6.24464832321311,6.17195878690745,7.27604560710996,7.03345961499376,6.87098477869248
129607,0.124190951033721,0,0,0.0926813017637616,0.156537028804316,0
55748,4.13352947616258,4.14557341916907,4.08333924778378,4.56692090788342,4.6620292052977,4.61473693438362
1267,3.39622666726809,3.44477390280719,3.37932442243724,3.51045838743439,3.56009366702607,3.5010495835818
80347,3.60771930083637,3.54257336114103,3.58436451707403,3.63202859348962,3.74485732313521,3.82099029258253
1312,3.56272209781333,3.42526614419097,3.87080460150504,3.26670940136735,3.20263270454551,3.43751902919176
118881,4.26616584808737,4.0339820339953,3.90505880336734,2.30469693038123,2.672197676593,3.303955378035
27235,3.1497206990559,3.07250651774054,3.27708725742256,3.71408056227,3.90014845451567,3.62427150048083
51805,2.91583025233611,2.96108648758485,2.90835896176233,4.05253808886867,3.8766296348382,3.92162878376458
51004,3.62844952149417,3.63279502270305,3.56549467170248,3.09432959130297,3.42259641592521,3.43048108588952
10229,3.54660417444035,3.43588028682762,3.67801903422664,3.43906396308325,3.32228020943958,3.36411527143526
1327,13.032061308724,12.8068154594215,13.0586890274208,12.4819111466548,12.2843952557573,12.4281264050428
9377,8.99431175913045,8.99120976822024,8.81116784002922,8.69638571008344,8.9142819270624,8.90067011479401
1329,11.1376287316516,11.2192589932643,10.6962885008842,10.3163500426643,10.1684735602899,10.8814702236433
1337,14.2661502925922,14.2519202851604,14.3267396899522,14.1597101556779,14.2656951596299,14.3348706030455
1340,12.7106839456457,12.6817579382374,12.8042614839083,12.9584260608895,13.1728154437864,13.1502990900905
125965,2.08300002194144,1.6126488004767,1.85238607566176,2.59098195507172,2.16034657497398,2.03372431254382
1345,8.60970816401479,8.46571441468945,8.58227368972605,8.37977712677326,8.44744668058132,8.490285091999
1347,10.1951026164037,10.3622424887537,10.2202520704964,10.2891330162094,10.336182504286,10.0718389721598
9167,5.76125371378297,5.74069278795885,5.87378821501536,5.08588780216657,4.93491479566377,4.98443904662072
1349,10.9148527323721,11.0315346035802,11.3553031191214,11.3835201608403,11.2912836395013,11.360545960614
170712,0,0.372578443656151,0,0,0,0
1350,14.3544257829812,14.4649452444122,14.530789214091,14.6947773165474,14.7649038596803,14.884303247809
1351,12.4019552607001,12.2846170010415,12.2112591307034,12.10342977861,12.2997139751203,12.9592063792939
1356,4.94629921001702,4.81392224898988,4.9070995621349,2.41708130533995,2.38730466329404,2.3502103918421
