entrezID,CHO_Core_1,CHO_Core_2,CHO_Core_6,CHO_Core_8,CHO_Core_9,CHO_Core_10,CHO_Core_11,CHO_Core_12,CHO_Core_13,CHO_Core_14,CHO_Core_15,CHO_Core_16,CHO_Core_17,CHO_Core_18
100754740,3.11415341071243,5.3256817973586,2.62765885577843,4.34120517116223,2.62765885577843,5.01856773422657,3.11415341071243,3.11415341071243,2.62765885577843,1.48449363778352,3.96468325584158,3.11415341071243,3.11415341071243,3.55748159614071
100754759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100754767,4.38763504825663,4.5871986781031,4.26726318218579,3.28467996691156,2.70152876241728,2.9440864576099,2.98161295962947,3.62002440971907,3.65515571056641,3.63879181671893,3.85194528678562,1.67354790347333,3.06634472217683,3.12117964957275
100754773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100754784,2.97617779310416,3.23477259563952,2.9500046168688,2.60370121282722,3.80150560746316,3.66407157759947,4.79439262217584,4.68276475247842,3.56740595624793,3.28717366824915,3.97372212353635,2.03727205784929,2.9170942958906,3.28717366824915
100754791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100754792,3.43186489252169,3.65133586030782,3.93379403452485,2.88645328729443,2.61762415553118,2.87132655737829,3.40670455280611,3.54822027136145,4.02117090648867,4.10621952219754,4.26143720984087,2.16812667033948,3.72502358277297,3.42608447463193
100754813,2.96387775701988,3.80664346488009,3.05715161443645,2.98735985318291,3.43522940181884,3.49907946377492,4.26249040057156,3.80664346488009,3.905099529331,3.08020071682726,3.96325582052529,2.64812944133069,3.2608655317482,3.56212442992924
100754836,3.12420567818708,3.43789081654794,3.41740872799609,2.37107176210465,3.72099533250238,3.96598898927582,3.68464790021315,3.97288101530962,3.55156488112853,3.32157215234106,3.58144651110084,2.38370657772651,3.81664953251337,3.84263676617393
100754838,3.89436071974364,4.17823330463392,3.88957013629477,3.01731410734932,3.09657173131744,3.3270742530232,3.40688744057355,3.43321120775395,3.44370203213462,3.45417089111505,3.78299908233138,2.3269549009518,3.62381559639915,3.38572818584172
100754848,4.77977460201672,5.08392997757943,4.58865654176889,3.18213404269399,2.79361480696753,2.76950841686003,3.03766378346993,3.42532798731924,3.55503462116462,3.14192191556511,3.26160090210442,1.66534179209235,3.2176086625535,2.9498669537641
100754853,3.04311657777368,3.08555822306547,3.49703410128671,3.11365382177489,3.24120167843605,3.25029711806655,3.67962616573358,3.54009627407649,3.67823606325421,3.45650535433139,4.01556120225912,2.42379147281535,4.38374665337399,3.81401494856802
100754863,4.03037873064176,4.31157318346351,4.34451682802538,2.93424281312696,3.1938697416887,3.40898586022537,3.25672339419165,3.36621267455101,3.68439798557489,3.6781491513457,3.89615174748264,1.83418998137763,3.20450452589761,2.83228879950125
