SampleID_S1,TaskID_S1,TaskScore_S1,BinaryTaskScore_S1,EssentialRxnsTask_S1,ExpressionScoreEssentialRxnsTask_S1,GeneAssociatedToEssentialRxnsTask_S1,GeneExpressionValue_S1,SampleID_S2,TaskID_S2,TaskScore_S2,BinaryTaskScore_S2,EssentialRxnsTask_S2,ExpressionScoreEssentialRxnsTask_S2,GeneAssociatedToEssentialRxnsTask_S2,GeneExpressionValue_S2,SampleID_S3,TaskID_S3,TaskScore_S3,BinaryTaskScore_S3,EssentialRxnsTask_S3,ExpressionScoreEssentialRxnsTask_S3,GeneAssociatedToEssentialRxnsTask_S3,GeneExpressionValue_S3,SampleID_S4,TaskID_S4,TaskScore_S4,BinaryTaskScore_S4,EssentialRxnsTask_S4,ExpressionScoreEssentialRxnsTask_S4,GeneAssociatedToEssentialRxnsTask_S4,GeneExpressionValue_S4,SampleID_S5,TaskID_S5,TaskScore_S5,BinaryTaskScore_S5,EssentialRxnsTask_S5,ExpressionScoreEssentialRxnsTask_S5,GeneAssociatedToEssentialRxnsTask_S5,GeneExpressionValue_S5,SampleID_S6,TaskID_S6,TaskScore_S6,BinaryTaskScore_S6,EssentialRxnsTask_S6,ExpressionScoreEssentialRxnsTask_S6,GeneAssociatedToEssentialRxnsTask_S6,GeneExpressionValue_S6,SampleID_S7,TaskID_S7,TaskScore_S7,BinaryTaskScore_S7,EssentialRxnsTask_S7,ExpressionScoreEssentialRxnsTask_S7,GeneAssociatedToEssentialRxnsTask_S7,GeneExpressionValue_S7,SampleID_S8,TaskID_S8,TaskScore_S8,BinaryTaskScore_S8,EssentialRxnsTask_S8,ExpressionScoreEssentialRxnsTask_S8,GeneAssociatedToEssentialRxnsTask_S8,GeneExpressionValue_S8,SampleID_S9,TaskID_S9,TaskScore_S9,BinaryTaskScore_S9,EssentialRxnsTask_S9,ExpressionScoreEssentialRxnsTask_S9,GeneAssociatedToEssentialRxnsTask_S9,GeneExpressionValue_S9,SampleID_S10,TaskID_S10,TaskScore_S10,BinaryTaskScore_S10,EssentialRxnsTask_S10,ExpressionScoreEssentialRxnsTask_S10,GeneAssociatedToEssentialRxnsTask_S10,GeneExpressionValue_S10,SampleID_S11,TaskID_S11,TaskScore_S11,BinaryTaskScore_S11,EssentialRxnsTask_S11,ExpressionScoreEssentialRxnsTask_S11,GeneAssociatedToEssentialRxnsTask_S11,GeneExpressionValue_S11,SampleID_S12,TaskID_S12,TaskScore_S12,BinaryTaskScore_S12,EssentialRxnsTask_S12,ExpressionScoreEssentialRxnsTask_S12,GeneAssociatedToEssentialRxnsTask_S12,GeneExpressionValue_S12,SampleID_S13,TaskID_S13,TaskScore_S13,BinaryTaskScore_S13,EssentialRxnsTask_S13,ExpressionScoreEssentialRxnsTask_S13,GeneAssociatedToEssentialRxnsTask_S13,GeneExpressionValue_S13,SampleID_S14,TaskID_S14,TaskScore_S14,BinaryTaskScore_S14,EssentialRxnsTask_S14,ExpressionScoreEssentialRxnsTask_S14,GeneAssociatedToEssentialRxnsTask_S14,GeneExpressionValue_S14
1,1,1.62377613207039,0,FADH2ETC,-1,,,2,1,1.71159758700918,0,FADH2ETC,-1,,,3,1,1.26965052076905,0,FADH2ETC,-1,,,4,1,0.734408030330423,0,FADH2ETC,-1,,,5,1,1.55568757418507,1,FADH2ETC,-1,,,6,1,1.63288880423597,1,FADH2ETC,-1,,,7,1,1.84831936063671,1,FADH2ETC,-1,,,8,1,1.6865746124814,1,FADH2ETC,-1,,,9,1,1.26817554387372,0,FADH2ETC,-1,,,10,1,1.11057585788566,0,FADH2ETC,-1,,,11,1,1.1919742998259,0,FADH2ETC,-1,,,12,1,0.955265341277085,0,FADH2ETC,-1,,,13,1,1.3730722462627,1,FADH2ETC,-1,,,14,1,1.43216303941281,1,FADH2ETC,-1,,
1,1,1.62377613207039,0,P5CRxm,2.44509812937321,100767919,396,2,1,1.71159758700918,0,P5CRxm,2.97294706112436,100767919,510,3,1,1.26965052076905,0,P5CRxm,2.30645577683561,100767919,368,4,1,0.734408030330423,0,P5CRxm,1.2912135850055,100767919,185,5,1,1.55568757418507,1,P5CRxm,4.69861401965584,100767919,979,6,1,1.63288880423597,1,P5CRxm,4.79110322424623,100767919,1009,7,1,1.84831936063671,1,P5CRxm,5.85470884625462,100767919,1397,8,1,1.6865746124814,1,P5CRxm,5.56758856838549,100767919,1284,9,1,1.26817554387372,0,P5CRxm,1.57226800714247,100767919,232,10,1,1.11057585788566,0,P5CRxm,1.67015712530202,100767919,249,11,1,1.1919742998259,0,P5CRxm,1.995750893063,100767919,308,12,1,0.955265341277085,0,P5CRxm,2.55617548117344,100767919,419,13,1,1.3730722462627,1,P5CRxm,3.60374533734308,100767919,663,14,1,1.43216303941281,1,P5CRxm,4.0764716825439,100767919,791
1,1,1.62377613207039,0,PROD2m,4.05000639890835,100750856,32,2,1,1.71159758700918,0,PROD2m,3.87344328691235,100750856,30,3,1,1.26965052076905,0,PROD2m,2.77214630624061,100750856,19,4,1,0.734408030330423,0,PROD2m,1.6464185363162,100750856,10,5,1,1.55568757418507,1,PROD2m,3.87344328691235,100750856,30,6,1,1.63288880423597,1,PROD2m,4.13600360482075,100750856,33,7,1,1.84831936063671,1,PROD2m,4.46592301941952,100750856,37,8,1,1.6865746124814,1,PROD2m,3.96250416573285,100750856,31,9,1,1.26817554387372,0,PROD2m,3.50043416835243,100750856,26,10,1,1.11057585788566,0,PROD2m,2.77214630624061,100750856,19,11,1,1.1919742998259,0,PROD2m,2.77214630624061,100750856,19,12,1,0.955265341277085,0,PROD2m,2.54297362452162,100750856,17,13,1,1.3730722462627,1,PROD2m,3.69041631637928,100750856,28,14,1,1.43216303941281,1,PROD2m,3.69041631637928,100750856,28
1,2,3.05886333246997,0,SUCD1m,3.05886333246997,100771246,1981,2,2,3.23364281603726,0,SUCD1m,3.23364281603726,100771246,2135,3,2,3.09109922584727,0,SUCD1m,3.09109922584727,100771246,2009,4,2,2.56263875918261,0,SUCD1m,2.56263875918261,100771246,1572,5,2,2.78674106633821,0,SUCD1m,2.78674106633821,100774657,2635,6,2,2.76724469720038,0,SUCD1m,2.76724469720038,100774657,2611,7,2,3.01495370778446,0,SUCD1m,3.01495370778446,100774657,2923,8,2,3.14870260728029,0,SUCD1m,3.14870260728029,100774657,3098,9,2,3.53533418944386,1,SUCD1m,3.53533418944386,100750732,6441,10,2,3.42553022336791,0,SUCD1m,3.42553022336791,100750732,6165,11,2,3.65124436687813,1,SUCD1m,3.65124436687813,100750732,6739,12,2,1.97991384450037,0,SUCD1m,1.97991384450037,100774657,1716,13,2,3.23406406965856,0,SUCD1m,3.23406406965856,100750732,5698,14,2,3.09334449269884,0,SUCD1m,3.09334449269884,100774657,3025
1,3,2.63837435054726,0,PDHm,2.63837435054726,100774878,707,2,3,2.84847907101086,0,PDHm,2.84847907101086,100774878,781,3,3,2.9312037185864,0,PDHm,2.9312037185864,100774878,811,4,3,1.98902918059017,0,PDHm,1.98902918059017,100774878,497,5,3,1.83478761785025,0,PDHm,1.83478761785025,100774878,451,6,3,1.90579301342439,0,PDHm,1.90579301342439,100774878,472,7,3,2.07739465784608,0,PDHm,2.07739465784608,100774878,524,8,3,2.2055012170175,0,PDHm,2.2055012170175,100774878,564,9,3,3.47837014830927,1,PDHm,3.47837014830927,100774853,1816,10,3,3.68653501079585,1,PDHm,3.68653501079585,100689437,2320,11,3,3.7679287620141,1,PDHm,3.7679287620141,100774853,2032,12,3,1.93905354675137,0,PDHm,1.93905354675137,100774853,856,13,3,3.26982208675346,0,PDHm,3.26982208675346,100774853,1668,14,3,3.03117821912995,0,PDHm,3.03117821912995,100773493,1301
1,4,2.53379660660976,1,ACONTm,3.6483530827151,100759203,4908,2,4,2.69525990247653,1,ACONTm,3.83071622481158,100759203,5260,3,4,2.95559473069802,1,ACONTm,3.65678821704181,100759203,4924,4,4,2.1079249242085,0,ACONTm,2.47440785647034,100759203,2925,5,4,2.3636535293821,0,ACONTm,3.22518480776086,100759203,4139,6,4,2.44904574456874,0,ACONTm,3.48804587631698,100759203,4609,7,4,2.41907987420623,0,ACONTm,3.65309959664432,100759203,4917,8,4,2.5069155172402,1,ACONTm,3.72584038542593,100759203,5056,9,4,2.84528969507873,1,ACONTm,3.62349225937725,100759203,4861,10,4,2.79736048398771,1,ACONTm,3.46292058741003,100759203,4563,11,4,2.89224409990472,1,ACONTm,3.88737323595686,100759203,5372,12,4,1.61975544119818,0,ACONTm,2.19728846647853,100759203,2521,13,4,2.4028866011367,0,ACONTm,3.7543330211614,100759203,5111,14,4,2.28703745777967,0,ACONTm,3.5846318616303,100759203,4788
1,4,2.53379660660976,1,AKGDm,3.88747214415742,100764862,3544,2,4,2.69525990247653,1,AKGDm,4.00949240235061,100764862,3706,3,4,2.95559473069802,1,AKGDm,4.06351840771038,100764862,3779,4,4,2.1079249242085,0,AKGDm,2.70800917922707,100758466,3280,5,4,2.3636535293821,0,AKGDm,2.5828673616812,100764862,2038,6,4,2.44904574456874,0,AKGDm,2.86384169874033,100764862,2330,7,4,2.41907987420623,0,AKGDm,2.84694317734848,100758466,3501,8,4,2.5069155172402,1,AKGDm,3.14187444858932,100758466,3991,9,4,2.84528969507873,1,AKGDm,3.69327528656302,100689437,2326,10,4,2.79736048398771,1,AKGDm,3.63732507982729,100764862,3224,11,4,2.89224409990472,1,AKGDm,3.82839298849515,100689437,2448,12,4,1.61975544119818,0,AKGDm,1.97540399401224,100758466,2211,13,4,2.4028866011367,0,AKGDm,3.31873305739407,100758466,4299,14,4,2.28703745777967,0,AKGDm,3.08780988448941,100758466,3899
1,4,2.53379660660976,1,CSm,3.53554388186496,100750580,1614,2,4,2.69525990247653,1,CSm,3.92222659437155,100750580,1870,3,4,2.95559473069802,1,CSm,3.48027475902282,100750580,1579,4,4,2.1079249242085,0,CSm,2.61760553389877,100750580,1080,5,4,2.3636535293821,0,CSm,2.81734678625706,100750580,1188,6,4,2.44904574456874,0,CSm,2.97264114750553,100750580,1275,7,4,2.41907987420623,0,CSm,3.12837077521382,100750580,1365,8,4,2.5069155172402,1,CSm,3.13007414546998,100750580,1366,9,4,2.84528969507873,1,CSm,4.26759239200785,100750580,2116,10,4,2.79736048398771,1,CSm,4.30004373250036,100750580,2140,11,4,2.89224409990472,1,CSm,4.52277968013542,100750580,2309,12,4,1.61975544119818,0,CSm,2.27194798361665,100750580,903,13,4,2.4028866011367,0,CSm,3.53711405751322,100750580,1615,14,4,2.28703745777967,0,CSm,3.44681763894287,100750580,1558
1,4,2.53379660660976,1,FUMm,3.65528910609515,100773218,1874,2,4,2.69525990247653,1,FUMm,3.93642283763279,100773218,2083,3,4,2.95559473069802,1,FUMm,3.67737900041351,100773218,1890,4,4,2.1079249242085,0,FUMm,3.09510128494091,100773218,1491,5,4,2.3636535293821,0,FUMm,2.98873331219281,100773218,1423,6,4,2.44904574456874,0,FUMm,3.18559256975306,100773218,1550,7,4,2.41907987420623,0,FUMm,3.3072175794739,100773218,1631,8,4,2.5069155172402,1,FUMm,3.56734889429466,100773218,1811,9,4,2.84528969507873,1,FUMm,3.94818118120663,100773218,2092,10,4,2.79736048398771,1,FUMm,3.96381608208256,100773218,2104,11,4,2.89224409990472,1,FUMm,4.15147829179355,100773218,2251,12,4,1.61975544119818,0,FUMm,2.10568236353105,100773218,911,13,4,2.4028866011367,0,FUMm,3.38814760393561,100773218,1686,14,4,2.28703745777967,0,FUMm,3.19622094934886,100773218,1557
1,4,2.53379660660976,1,ICDHxm,3.6186271098605,100771661,1367,2,4,2.69525990247653,1,ICDHxm,3.89351507765697,100771661,1517,3,4,2.95559473069802,1,ICDHxm,3.30973965175107,100771661,1208,4,4,2.1079249242085,0,ICDHxm,2.22153615886586,100771661,720,5,4,2.3636535293821,0,ICDHxm,2.83338955940384,100754480,2303,6,4,2.44904574456874,0,ICDHxm,2.87640689798183,100754480,2349,7,4,2.41907987420623,0,ICDHxm,3.14205005587869,100754480,2642,8,4,2.5069155172402,1,ICDHxm,3.2472280349498,100771661,1177,9,4,2.84528969507873,1,ICDHxm,3.44735815204981,100751753,918,10,4,2.79736048398771,1,ICDHxm,3.43649322208292,100751753,914,11,4,2.89224409990472,1,ICDHxm,3.63638279146674,100751753,989,12,4,1.61975544119818,0,ICDHxm,1.98370553922435,100754480,1471,13,4,2.4028866011367,0,ICDHxm,3.24689925096154,100754480,2762,14,4,2.28703745777967,0,ICDHxm,3.06463555134036,100754480,2555
