SampleID_S1,TaskID_S1,TaskScore_S1,BinaryTaskScore_S1,EssentialRxnsTask_S1,ExpressionScoreEssentialRxnsTask_S1,GeneAssociatedToEssentialRxnsTask_S1,GeneExpressionValue_S1,SampleID_S2,TaskID_S2,TaskScore_S2,BinaryTaskScore_S2,EssentialRxnsTask_S2,ExpressionScoreEssentialRxnsTask_S2,GeneAssociatedToEssentialRxnsTask_S2,GeneExpressionValue_S2,SampleID_S3,TaskID_S3,TaskScore_S3,BinaryTaskScore_S3,EssentialRxnsTask_S3,ExpressionScoreEssentialRxnsTask_S3,GeneAssociatedToEssentialRxnsTask_S3,GeneExpressionValue_S3,SampleID_S4,TaskID_S4,TaskScore_S4,BinaryTaskScore_S4,EssentialRxnsTask_S4,ExpressionScoreEssentialRxnsTask_S4,GeneAssociatedToEssentialRxnsTask_S4,GeneExpressionValue_S4,SampleID_S5,TaskID_S5,TaskScore_S5,BinaryTaskScore_S5,EssentialRxnsTask_S5,ExpressionScoreEssentialRxnsTask_S5,GeneAssociatedToEssentialRxnsTask_S5,GeneExpressionValue_S5,SampleID_S6,TaskID_S6,TaskScore_S6,BinaryTaskScore_S6,EssentialRxnsTask_S6,ExpressionScoreEssentialRxnsTask_S6,GeneAssociatedToEssentialRxnsTask_S6,GeneExpressionValue_S6
1,2,1.171132708,1,BiP_NEF,-1,64374,,2,2,1.160836499,1,BiP_NEF,-1,64374,,3,2,1.183397274,1,BiP_NEF,-1,64374,,4,2,1.136592444,0,BiP_NEF,-1,64374,,5,2,1.135197451,0,BiP_NEF,-1,64374,,6,2,1.14372718,0,BiP_NEF,-1,64374,
1,2,1.171132708,1,BiP_adp_degradation,3.513398124,3309,28.93738937,2,2,1.160836499,1,BiP_adp_degradation,3.482509496,3309,28.58430672,3,2,1.183397274,1,BiP_adp_degradation,3.550191822,3309,29.3608284,4,2,1.136592444,0,BiP_adp_degradation,3.409777333,3309,27.76148224,5,2,1.135197451,0,BiP_adp_degradation,3.405592354,3309,27.71450043,6,2,1.14372718,0,BiP_adp_degradation,3.431181539,3309,28.002388
1,2,1.171132708,1,ASNA1_formation,-1,439,,2,2,1.160836499,1,ASNA1_formation,-1,439,,3,2,1.183397274,1,ASNA1_formation,-1,439,,4,2,1.136592444,0,ASNA1_formation,-1,439,,5,2,1.135197451,0,ASNA1_formation,-1,439,,6,2,1.14372718,0,ASNA1_formation,-1,439,
1,2,1.171132708,1,ASNA1_atp,-1,439,,2,2,1.160836499,1,ASNA1_atp,-1,439,,3,2,1.183397274,1,ASNA1_atp,-1,439,,4,2,1.136592444,0,ASNA1_atp,-1,439,,5,2,1.135197451,0,ASNA1_atp,-1,439,,6,2,1.14372718,0,ASNA1_atp,-1,439,
1,2,1.171132708,1,post_TRANSLOC_1,-1,7917,,2,2,1.160836499,1,post_TRANSLOC_1,-1,7917,,3,2,1.183397274,1,post_TRANSLOC_1,-1,7917,,4,2,1.136592444,0,post_TRANSLOC_1,-1,7917,,5,2,1.135197451,0,post_TRANSLOC_1,-1,7917,,6,2,1.14372718,0,post_TRANSLOC_1,-1,7917,
1,2,1.171132708,1,post_TRANSLOC_2,-1,439,,2,2,1.160836499,1,post_TRANSLOC_2,-1,439,,3,2,1.183397274,1,post_TRANSLOC_2,-1,439,,4,2,1.136592444,0,post_TRANSLOC_2,-1,439,,5,2,1.135197451,0,post_TRANSLOC_2,-1,439,,6,2,1.14372718,0,post_TRANSLOC_2,-1,439,
1,2,1.171132708,1,post_TRANSLOC_3A_1,-1,439,,2,2,1.160836499,1,post_TRANSLOC_3A_1,-1,439,,3,2,1.183397274,1,post_TRANSLOC_3A_1,-1,439,,4,2,1.136592444,0,post_TRANSLOC_3A_1,-1,439,,5,2,1.135197451,0,post_TRANSLOC_3A_1,-1,439,,6,2,1.14372718,0,post_TRANSLOC_3A_1,-1,439,
1,2,1.171132708,1,post_TRANSLOC_3A_2,-1,439,,2,2,1.160836499,1,post_TRANSLOC_3A_2,-1,439,,3,2,1.183397274,1,post_TRANSLOC_3A_2,-1,439,,4,2,1.136592444,0,post_TRANSLOC_3A_2,-1,439,,5,2,1.135197451,0,post_TRANSLOC_3A_2,-1,439,,6,2,1.14372718,0,post_TRANSLOC_3A_2,-1,439,
1,2,1.171132708,1,post_TRANSLOC_3B_1,-1,23480,,2,2,1.160836499,1,post_TRANSLOC_3B_1,-1,23480,,3,2,1.183397274,1,post_TRANSLOC_3B_1,-1,23480,,4,2,1.136592444,0,post_TRANSLOC_3B_1,-1,23480,,5,2,1.135197451,0,post_TRANSLOC_3B_1,-1,23480,,6,2,1.14372718,0,post_TRANSLOC_3B_1,-1,23480,
1,2,1.171132708,1,post_TRANSLOC_3B_2,-1,23480,,2,2,1.160836499,1,post_TRANSLOC_3B_2,-1,23480,,3,2,1.183397274,1,post_TRANSLOC_3B_2,-1,23480,,4,2,1.136592444,0,post_TRANSLOC_3B_2,-1,23480,,5,2,1.135197451,0,post_TRANSLOC_3B_2,-1,23480,,6,2,1.14372718,0,post_TRANSLOC_3B_2,-1,23480,
1,2,1.171132708,1,post_TRANSLOC_3B_3,-1,23480,,2,2,1.160836499,1,post_TRANSLOC_3B_3,-1,23480,,3,2,1.183397274,1,post_TRANSLOC_3B_3,-1,23480,,4,2,1.136592444,0,post_TRANSLOC_3B_3,-1,23480,,5,2,1.135197451,0,post_TRANSLOC_3B_3,-1,23480,,6,2,1.14372718,0,post_TRANSLOC_3B_3,-1,23480,
1,2,1.171132708,1,ASNA1_adp_degradation,-1,439,,2,2,1.160836499,1,ASNA1_adp_degradation,-1,439,,3,2,1.183397274,1,ASNA1_adp_degradation,-1,439,,4,2,1.136592444,0,ASNA1_adp_degradation,-1,439,,5,2,1.135197451,0,ASNA1_adp_degradation,-1,439,,6,2,1.14372718,0,ASNA1_adp_degradation,-1,439,
1,2,1.171132708,1,co_TRANSLOC_7,-1,23480,,2,2,1.160836499,1,co_TRANSLOC_7,-1,23480,,3,2,1.183397274,1,co_TRANSLOC_7,-1,23480,,4,2,1.136592444,0,co_TRANSLOC_7,-1,23480,,5,2,1.135197451,0,co_TRANSLOC_7,-1,23480,,6,2,1.14372718,0,co_TRANSLOC_7,-1,23480,
1,2,1.171132708,1,TRAP_degradation,-1,6746,,2,2,1.160836499,1,TRAP_degradation,-1,6746,,3,2,1.183397274,1,TRAP_degradation,-1,6746,,4,2,1.136592444,0,TRAP_degradation,-1,6746,,5,2,1.135197451,0,TRAP_degradation,-1,6746,,6,2,1.14372718,0,TRAP_degradation,-1,6746,
1,3,-1,-1,GPI_Transfer_A1,-1,94005,,2,3,-1,-1,GPI_Transfer_A1,-1,94005,,3,3,-1,-1,GPI_Transfer_A1,-1,94005,,4,3,-1,-1,GPI_Transfer_A1,-1,94005,,5,3,-1,-1,GPI_Transfer_A1,-1,94005,,6,3,-1,-1,GPI_Transfer_A1,-1,94005,
1,3,-1,-1,GPI_Transfer_A2,-1,80055,,2,3,-1,-1,GPI_Transfer_A2,-1,80055,,3,3,-1,-1,GPI_Transfer_A2,-1,80055,,4,3,-1,-1,GPI_Transfer_A2,-1,80055,,5,3,-1,-1,GPI_Transfer_A2,-1,80055,,6,3,-1,-1,GPI_Transfer_A2,-1,80055,
1,3,-1,-1,GPI_signal_degradation,-1,,,2,3,-1,-1,GPI_signal_degradation,-1,,,3,3,-1,-1,GPI_signal_degradation,-1,,,4,3,-1,-1,GPI_signal_degradation,-1,,,5,3,-1,-1,GPI_signal_degradation,-1,,,6,3,-1,-1,GPI_signal_degradation,-1,,
1,4,1.651819896,0,OST_complex,3.303639793,5707,20.9999733,2,4,1.716523574,0,OST_complex,3.433047147,5708,23.53064919,3,4,1.726640455,0,OST_complex,3.45328091,1650,26.19679832,4,4,1.713244553,0,OST_complex,3.426489106,201595,24.82643509,5,4,1.721710133,0,OST_complex,3.443420266,1650,26.09331512,6,4,1.725270229,0,OST_complex,3.450540459,5708,23.69667816
1,4,1.651819896,0,ERNG,3.303639793,5707,20.9999733,2,4,1.716523574,0,ERNG,3.433047147,5708,23.53064919,3,4,1.726640455,0,ERNG,3.45328091,1650,26.19679832,4,4,1.713244553,0,ERNG,3.426489106,201595,24.82643509,5,4,1.721710133,0,ERNG,3.443420266,1650,26.09331512,6,4,1.725270229,0,ERNG,3.450540459,5708,23.69667816
1,4,1.651819896,0,g3m8mpdol_L_to_canonical,-1,,,2,4,1.716523574,0,g3m8mpdol_L_to_canonical,-1,,,3,4,1.726640455,0,g3m8mpdol_L_to_canonical,-1,,,4,4,1.713244553,0,g3m8mpdol_L_to_canonical,-1,,,5,4,1.721710133,0,g3m8mpdol_L_to_canonical,-1,,,6,4,1.725270229,0,g3m8mpdol_L_to_canonical,-1,,
1,4,1.651819896,0,g3m8mpdol_U_to_canonical,-1,,,2,4,1.716523574,0,g3m8mpdol_U_to_canonical,-1,,,3,4,1.726640455,0,g3m8mpdol_U_to_canonical,-1,,,4,4,1.713244553,0,g3m8mpdol_U_to_canonical,-1,,,5,4,1.721710133,0,g3m8mpdol_U_to_canonical,-1,,,6,4,1.725270229,0,g3m8mpdol_U_to_canonical,-1,,
1,4,1.651819896,0,doldp_L_to_canonical,-1,,,2,4,1.716523574,0,doldp_L_to_canonical,-1,,,3,4,1.726640455,0,doldp_L_to_canonical,-1,,,4,4,1.713244553,0,doldp_L_to_canonical,-1,,,5,4,1.721710133,0,doldp_L_to_canonical,-1,,,6,4,1.725270229,0,doldp_L_to_canonical,-1,,
1,4,1.651819896,0,doldp_U_to_canonical,-1,,,2,4,1.716523574,0,doldp_U_to_canonical,-1,,,3,4,1.726640455,0,doldp_U_to_canonical,-1,,,4,4,1.713244553,0,doldp_U_to_canonical,-1,,,5,4,1.721710133,0,doldp_U_to_canonical,-1,,,6,4,1.725270229,0,doldp_U_to_canonical,-1,,
1,5,1.142859745,0,GTHOX_CtoR_transport,-1,,,2,5,1.164120901,1,GTHOX_CtoR_transport,-1,,,3,5,1.159539255,1,GTHOX_CtoR_transport,-1,,,4,5,1.150919133,0,GTHOX_CtoR_transport,-1,,,5,5,1.149223982,0,GTHOX_CtoR_transport,-1,,,6,5,1.164690385,1,GTHOX_CtoR_transport,-1,,
1,5,1.142859745,0,PDI_1,-1,,,2,5,1.164120901,1,PDI_1,-1,,,3,5,1.159539255,1,PDI_1,-1,,,4,5,1.150919133,0,PDI_1,-1,,,5,5,1.149223982,0,PDI_1,-1,,,6,5,1.164690385,1,PDI_1,-1,,
