Entrez,TRAb_R1,TRAb_R2,TRAb_R3,WTAb_R1,WTAb_R2,WTAb_R3
10768,3.04324247931243,3.00968910809603,3.03091127316988,3.8901009842935,3.86139830139172,3.89676803733446
23382,3.04324247931243,3.00968910809603,3.03091127316988,3.8901009842935,3.86139830139172,3.89676803733446
11041,3.341393045858,3.25658637469445,3.30670563111281,3.60847658400004,3.65134711993355,3.61379760364326
483,3.27678683437657,3.32509022748171,3.34328746008112,3.59516260560961,3.56161721110555,3.60901025513711
25796,3.64985676027119,3.36036640060435,3.70819339616659,3.31623242840879,3.25467223256157,3.24020388840029
23062,3.30437124400216,3.30601097165549,3.27269947447202,3.54610131755011,3.54532387627324,3.46884635744496
11231,3.29287069352534,3.19319863999722,3.39115642896466,3.54716245055014,3.59778687917208,3.59721699925824
203,3.54198368712261,3.32093867230849,3.71649704854379,3.23290998227182,3.1890268480804,3.17758936669224
10558,3.31101206395888,3.37034955455002,3.39706569133341,3.22278555125286,3.21366450527137,3.16290080771521
8803,3.16514311742961,3.39940370783238,3.311139328496,3.49638395847254,3.46919743656476,3.49415043764046
1211,3.66525637637773,3.64229638846704,3.66113018830318,3.79393085669018,3.77267267655756,3.76686965884332
3145,3.64992238190159,3.22766248632162,3.69877393995468,3.21860734806883,3.40033682640258,3.22248161522377
4357,3.59798145807305,3.55743318719362,3.49679802796184,3.37236262741651,3.3919414939684,3.37292713423946
9653,3.57412052409439,3.15816566792872,3.29400949435639,3.55556625928429,3.62203964083552,3.56551665157544
229,3.26548599653377,3.44668859576196,3.50067576500177,3.11805480644046,3.22060613145464,3.2640617240363
10380,3.64009652176255,3.40259984605269,3.66844199771195,3.42907415063975,3.44865261616107,3.19030014979475
5692,3.20661196054034,3.44310486375956,3.20588471045056,3.45553825507777,3.49361278543418,3.47416873074424
28972,3.21760624781256,3.49110803372101,3.36537775696871,3.56198798312345,3.56657292526866,3.58133842410233
10682,3.48310105141071,3.0449313140514,3.51493564840121,3.54305041689341,3.59177707584349,3.59523130386941
3251,3.74682468336879,3.22437420402677,3.68112985124074,3.47284745458981,3.12976266259051,3.23324488735342
6500,3.31920956620964,3.19835401502903,3.29541117402984,3.43387286140564,3.44588481412368,3.4205676151749
3099,3.4107622241953,3.52496301878206,3.35507289194739,3.70758324331105,3.46267261046477,3.62389943483387
4124,3.34590189391585,3.37819604056398,3.4101795317541,3.52020026411987,3.57399779869353,3.56105326491017
5238,3.66870007406563,3.53297433133022,3.57431009462052,3.62451638429695,3.1631250773324,3.20686134688516
283871,3.50301574703171,3.28208498028409,3.52637353905898,3.23516038985997,3.15985649353959,3.37127231219308
164,3.34900655136905,3.42519242999848,3.31937231244258,3.57194716943473,3.56015344486942,3.56213751600379
7167,3.64369645520186,3.59009745483934,3.70516163579566,3.51307188717482,3.50523947130276,3.53140497460083
2683,3.33044889543283,3.25602656129231,3.48684393781309,3.5844434133269,3.58310322860521,3.54393058822503
5693,3.2574794226296,3.54591722389891,3.2996311811688,3.49215389687146,3.53625696933003,3.6088891299407
52,3.57161887089566,3.51070718721393,3.67137640892726,3.16960575442918,3.54518906878878,3.30862266667151
11253,3.31620415283408,3.40042681700665,3.35675021116974,3.4864820267346,3.5049950690496,3.49943513663557
5050,3.54548221901501,3.19010055947524,3.51556506282782,3.29843582328073,3.20464333133902,3.17570984014508
56994,3.35876666228655,3.29060706529433,3.347399914971,3.48241917119631,3.45657722716875,3.46596644928018
644,3.44072319394172,3.37051652536869,3.38805013556228,3.16832428414828,3.34545913026414,3.21973810244701
9527,3.35594083445101,3.35972665150785,3.37959803636112,3.48950630975146,3.47825271089318,3.4898284219261
60559,3.37846280402557,3.45664846805019,3.35870694041282,3.48852925031935,3.55156995164161,3.55696474198656
