-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
2.0843,2.0805,2.0775,2.0899,2.1022,2.1035
2.4061,2.4102,2.4301,2.4056,2.4144,2.4051
3.2454,3.223,3.2836,3.1909,3.1976,3.1984
-1,-1,-1,-1,-1,-1
0.86555,0.87376,0.85807,0.87114,0.86543,0.8646
1.9639,1.9332,1.9634,1.9426,1.9225,1.9265
1.4627,1.4265,1.4708,1.4589,1.4373,1.4322
1.9272,1.9001,1.926,1.9163,1.8949,1.8929
1.4304,1.3949,1.4408,1.428,1.4043,1.4001
1.7511,1.7234,1.7543,1.7323,1.7202,1.7233
1.4627,1.4265,1.4708,1.4589,1.4373,1.4322
2.0622,2.0329,2.0609,2.0503,2.0273,2.0251
1.5878,1.5475,1.5993,1.5848,1.5581,1.5533
1.2852,1.257,1.2936,1.2861,1.2701,1.2673
1.8117,1.609,1.7786,1.697,1.6199,1.6361
1.8784,1.6167,1.8455,1.7411,1.5693,1.6211
1.8784,1.6167,1.8455,1.7411,1.5693,1.6211
0.87962,0.86574,0.85523,0.86249,0.86037,0.87499
1.8117,1.609,1.7786,1.697,1.6199,1.6361
-1,-1,-1,-1,-1,-1
3.5065,3.4777,3.4997,3.4256,3.4549,3.4321
3.5065,3.4777,3.4997,3.4256,3.4549,3.4321
3.0854,3.0735,3.111,3.0497,3.0576,3.0561
2.83,2.8198,2.8533,2.7979,2.8048,2.8037
2.6698,2.6761,2.7029,2.6405,2.6476,2.6593
3.0854,3.0735,3.111,3.0497,3.0576,3.0561
2.1072,2.1736,2.1493,2.1696,2.187,2.1999
0.39565,0.37938,0.38775,0.3823,0.38414,0.28584
2.8577,2.8394,2.8907,2.811,2.8165,2.8175
-1,-1,-1,-1,-1,-1
1.7651,1.7523,1.8087,1.7411,1.7267,1.7373
1.9282,1.8399,1.9461,1.8291,1.7999,1.8034
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
1.7431,1.7362,1.7302,1.7558,1.7239,1.7406
3.646,3.5924,3.7075,3.5154,3.5075,3.5337
1.8463,1.8916,1.8591,1.8863,1.8924,1.9001
1.8268,1.8702,1.7963,1.8987,1.8507,1.885
3.4224,3.2582,3.4358,3.2949,3.2672,3.3698
2.404,2.4288,2.3705,2.4444,2.4043,2.4316
-1,-1,-1,-1,-1,-1
0.28442,0.29394,0.27977,0.30916,0.28874,0.30219
0.28442,0.29394,0.27977,0.30916,0.28874,0.30219
2.8677,2.8668,2.8487,2.881,2.7878,2.8017
2.8677,2.8668,2.8487,2.881,2.7878,2.8017
2.8677,2.8668,2.8487,2.881,2.7878,2.8017
0.28442,0.29394,0.27977,0.30916,0.28874,0.30219
2.404,2.4288,2.3705,2.4444,2.4043,2.4316
3.093,3.0678,3.1156,3.0486,3.0527,3.0497
3.093,3.0678,3.1156,3.0486,3.0527,3.0497
0.28442,0.29394,0.27977,0.30916,0.28874,0.30219
1.7536,0.34976,1.7327,1.7165,0.34498,0.68818
-1,-1,-1,-1,-1,-1
1.15,1.0832,1.1505,1.1488,1.1594,1.1361
-1,-1,-1,-1,-1,-1
0.66218,0.66034,0.66666,0.65613,0.65474,0.65898
1.5963,1.6113,1.6048,1.615,1.4717,1.6188
3.2028,3.1853,3.2227,3.1657,3.1754,3.1757
2.1754,2.1404,2.2002,2.136,2.111,2.1835
1.762,1.6002,1.7596,1.734,1.6169,1.7274
2.3292,2.3171,2.3755,2.4198,2.4156,2.4419
2.2444,2.1892,2.229,2.2446,2.2168,2.2922
2.2476,2.3748,2.3685,2.3186,2.2934,2.3141
-1,-1,-1,-1,-1,-1
3.3836,3.4075,3.3377,3.3586,3.458,3.4672
-1,-1,-1,-1,-1,-1
2.7391,2.8668,2.7719,2.8565,2.8578,2.7569
2.1769,2.2149,2.1658,2.2131,2.1867,2.1751
2.9145,2.8987,2.9321,2.8812,2.89,2.8905
2.153,2.1161,2.1758,2.1128,2.0874,2.1614
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
3.2647,3.4261,3.3167,3.3509,3.2797,3.2923
2.9237,2.9194,2.945,2.9037,2.9126,2.9149
2.2285,2.193,2.2126,2.1896,2.1661,2.2328
0.87569,0.86299,0.87781,0.8642,0.85606,0.86171
-1,-1,-1,-1,-1,-1
1.809,1.763,1.7994,2.7419,2.7851,2.7546
1.9191,1.9256,1.9027,1.9222,1.9199,1.926
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
3.2028,3.1853,3.2227,3.1657,3.1754,3.1757
2.1104,2.1518,2.102,2.1488,2.1212,2.1112
3.2815,3.5077,3.4301,3.5123,3.4815,3.5761
0.78682,1.5644,1.5213,0.78904,0.79416,0.79142
-1,-1,-1,-1,-1,-1
3.2107,3.2175,3.2434,3.2004,3.206,3.2157
2.2605,2.223,2.2489,2.2184,2.1983,2.2645
1.7921,1.8463,1.8262,1.842,1.8555,1.8664
-1,-1,-1,-1,-1,-1
2.7397,2.7162,2.7574,2.7151,2.6411,2.7115
2.0672,1.8121,2.0725,1.8157,1.818,2.0877
-1,-1,-1,-1,-1,-1
2.3133,2.2756,2.3458,2.2697,2.2373,2.3188
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
1.809,1.763,1.7994,2.7419,2.7851,2.7546
-1,-1,-1,-1,-1,-1
2.1675,2.0894,2.1501,2.1422,2.1195,2.2401
2.1995,2.1711,2.2294,2.1676,2.1437,2.2133
2.4683,2.5897,2.5896,2.6165,2.6173,2.5767
2.2376,2.1762,2.2312,2.2209,2.1975,2.2649
-1,-1,-1,-1,-1,-1
0.70196,0.69289,0.68543,0.69594,0.69549,1.1425
1.9569,2.0779,2.0325,2.0512,2.0455,2.0613
1.7264,1.6508,1.7275,1.5912,1.7063,1.61
2.11,2.1288,2.1001,2.1759,2.1529,2.1437
2.0092,2.0339,2.0226,2.0323,2.0572,2.0496
1.739,2.4398,1.7307,2.4737,2.537,2.414
2.7397,2.7162,2.7574,2.7151,2.6411,2.7115
1.8737,1.652,1.9416,1.6562,1.6579,1.8893
2.283,2.2498,2.3103,2.2463,2.2185,2.2897
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
2.7884,2.9869,3.0064,2.7574,2.7675,2.7677
2.3679,2.3279,2.3482,2.3259,2.2958,2.3738
1.7556,2.5538,2.5071,1.7617,1.7849,1.7909
2.1665,2.1836,2.161,2.1794,2.1707,2.1604
2.1231,2.0774,2.1639,2.0756,2.0502,2.1119
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
2.3383,2.3033,2.3647,2.2987,2.2707,2.3437
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
3.4316,3.4591,3.4227,3.5087,3.478,3.4937
2.3482,2.3108,2.339,2.3073,2.2076,2.3543
1.7151,1.7521,1.6565,1.7425,1.8394,1.7304
3.2917,3.2647,3.319,3.2404,3.248,3.2484
2.0578,2.0887,2.0782,1.9282,1.9579,2.0525
3.093,3.0678,3.1156,3.0486,3.0527,3.0497
-1,-1,-1,-1,-1,-1
1.7301,1.7614,1.7209,1.7254,1.7358,1.7231
-1,-1,-1,-1,-1,-1
1.6696,1.6441,1.6408,1.697,1.6943,1.7174
1.6696,1.6441,1.6408,1.697,1.6943,1.7174
1.6696,1.6441,1.6408,1.697,1.6943,1.7174
1.4868,1.4663,1.4924,1.5248,1.5241,1.5495
1.3969,1.3733,1.4047,1.4361,1.4184,1.4597
1.3496,1.3281,1.3561,1.3925,1.3769,1.3899
1.823,1.7905,1.7889,1.8522,1.8476,1.8523
1.823,1.7905,1.7889,1.8522,1.8476,1.8523
1.8976,1.9782,1.908,1.9714,1.9748,1.8721
0.71155,0.73338,0.7063,0.72679,0.73585,0.70749
1.5529,1.551,1.5558,1.5442,1.5475,1.5568
0.74557,0.76736,0.73413,0.75891,0.76938,0.73729
1.6432,1.6346,1.6504,1.6255,1.6267,1.6406
1.087,1.0974,1.0675,1.1066,1.1189,1.0794
1.6432,1.6346,1.6504,1.6255,1.6267,1.6406
0.74275,0.76593,0.73514,0.76028,0.77955,0.73975
0.92323,0.92024,0.92195,0.99515,1.0266,0.99249
1.0352,1.0448,1.0171,1.0523,1.0645,1.0267
0.25343,0.25353,0.24926,0.25741,0.25442,0.25744
1.0607,1.0709,1.0423,1.078,1.0915,1.051
1.9809,1.9667,2.0123,2.0887,2.0382,2.0998
0.74033,0.73716,0.72826,0.75186,0.73899,0.73155
3.0761,3.0595,3.0923,3.043,3.0465,3.0397
2.0878,2.0767,2.0984,2.0659,2.0683,2.0637
0.50099,0.52859,0.51528,0.51365,0.55724,0.48111
1.4402,1.4528,1.4306,1.448,1.4789,1.4248
0.75634,0.79846,0.77088,0.76755,0.87092,0.69119
0.75634,0.79846,0.77088,0.76755,0.87092,0.69119
-1,-1,-1,-1,-1,-1
1.6971,1.7183,1.6479,1.7883,1.7868,1.7402
1.1593,1.2098,1.1598,1.3126,1.3202,1.2438
1.1593,1.2098,1.1598,1.3126,1.3202,1.2438
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
0.87798,0.88644,0.78636,0.88599,0.87543,0.88339
0.31996,0.31892,0.31723,0.3202,0.32181,0.32374
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
3.4501,3.3797,3.3973,3.1771,3.3546,3.2287
3.5747,3.3521,3.5861,3.3475,3.4231,3.3503
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
3.5263,3.4016,3.475,3.5372,3.5528,3.5317
3.567,3.5776,3.5681,3.6398,3.6601,3.6424
3.567,3.5776,3.5681,3.6398,3.6601,3.6424
0.17018,0.16614,0.17361,0.18345,0.18444,0.18248
0.17018,0.16614,0.17361,0.18345,0.18444,0.18248
-1,-1,-1,-1,-1,-1
0.17211,0.16799,0.17487,0.18558,0.18674,0.18476
1.2599,1.2491,1.2728,1.2236,1.2221,1.2311
1.2599,1.2491,1.2728,1.2236,1.2221,1.2311
-1,-1,-1,-1,-1,-1
1.6342,1.7165,1.7236,1.7132,1.7285,1.7253
1.1561,1.1775,1.1729,1.1642,1.1625,1.1781
0.92012,0.93755,0.91484,0.94619,0.94244,0.93888
1.5437,1.5775,1.5086,1.522,1.5268,1.5396
0.86682,0.86743,0.87616,0.86083,0.86141,0.8655
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
1.7385,1.6492,1.7323,1.75,1.6334,1.6669
1.0679,1.1415,1.114,1.1409,1.153,1.1495
0.1448,0.14157,0.1516,0.15585,0.15579,0.15408
1.1527,1.1278,1.1394,1.1723,1.1606,1.1782
0.24636,0.24801,0.24882,0.24687,0.24826,0.24698
1.7787,1.7876,1.7829,1.8187,1.8289,1.82
1.7023,1.687,1.6883,1.2125,1.2065,1.2113
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1
1.6591,1.6477,1.65,0.97584,0.97299,0.97041
