SampleID_S1,TaskID_S1,TaskScore_S1,BinaryTaskScore_S1,EssentialRxnsTask_S1,ExpressionScoreEssentialRxnsTask_S1,GeneAssociatedToEssentialRxnsTask_S1,GeneExpressionValue_S1,SampleID_S2,TaskID_S2,TaskScore_S2,BinaryTaskScore_S2,EssentialRxnsTask_S2,ExpressionScoreEssentialRxnsTask_S2,GeneAssociatedToEssentialRxnsTask_S2,GeneExpressionValue_S2,SampleID_S3,TaskID_S3,TaskScore_S3,BinaryTaskScore_S3,EssentialRxnsTask_S3,ExpressionScoreEssentialRxnsTask_S3,GeneAssociatedToEssentialRxnsTask_S3,GeneExpressionValue_S3,SampleID_S4,TaskID_S4,TaskScore_S4,BinaryTaskScore_S4,EssentialRxnsTask_S4,ExpressionScoreEssentialRxnsTask_S4,GeneAssociatedToEssentialRxnsTask_S4,GeneExpressionValue_S4,SampleID_S5,TaskID_S5,TaskScore_S5,BinaryTaskScore_S5,EssentialRxnsTask_S5,ExpressionScoreEssentialRxnsTask_S5,GeneAssociatedToEssentialRxnsTask_S5,GeneExpressionValue_S5,SampleID_S6,TaskID_S6,TaskScore_S6,BinaryTaskScore_S6,EssentialRxnsTask_S6,ExpressionScoreEssentialRxnsTask_S6,GeneAssociatedToEssentialRxnsTask_S6,GeneExpressionValue_S6,SampleID_S7,TaskID_S7,TaskScore_S7,BinaryTaskScore_S7,EssentialRxnsTask_S7,ExpressionScoreEssentialRxnsTask_S7,GeneAssociatedToEssentialRxnsTask_S7,GeneExpressionValue_S7,SampleID_S8,TaskID_S8,TaskScore_S8,BinaryTaskScore_S8,EssentialRxnsTask_S8,ExpressionScoreEssentialRxnsTask_S8,GeneAssociatedToEssentialRxnsTask_S8,GeneExpressionValue_S8,SampleID_S9,TaskID_S9,TaskScore_S9,BinaryTaskScore_S9,EssentialRxnsTask_S9,ExpressionScoreEssentialRxnsTask_S9,GeneAssociatedToEssentialRxnsTask_S9,GeneExpressionValue_S9,SampleID_S10,TaskID_S10,TaskScore_S10,BinaryTaskScore_S10,EssentialRxnsTask_S10,ExpressionScoreEssentialRxnsTask_S10,GeneAssociatedToEssentialRxnsTask_S10,GeneExpressionValue_S10,SampleID_S11,TaskID_S11,TaskScore_S11,BinaryTaskScore_S11,EssentialRxnsTask_S11,ExpressionScoreEssentialRxnsTask_S11,GeneAssociatedToEssentialRxnsTask_S11,GeneExpressionValue_S11,SampleID_S12,TaskID_S12,TaskScore_S12,BinaryTaskScore_S12,EssentialRxnsTask_S12,ExpressionScoreEssentialRxnsTask_S12,GeneAssociatedToEssentialRxnsTask_S12,GeneExpressionValue_S12,SampleID_S13,TaskID_S13,TaskScore_S13,BinaryTaskScore_S13,EssentialRxnsTask_S13,ExpressionScoreEssentialRxnsTask_S13,GeneAssociatedToEssentialRxnsTask_S13,GeneExpressionValue_S13,SampleID_S14,TaskID_S14,TaskScore_S14,BinaryTaskScore_S14,EssentialRxnsTask_S14,ExpressionScoreEssentialRxnsTask_S14,GeneAssociatedToEssentialRxnsTask_S14,GeneExpressionValue_S14
1,4,4.08196470774445,1,MDHm,6.38214727785279,100763194,2651,2,4,4.32323707358203,1,MDHm,6.5545551106269,100763194,2780,3,4,4.01139919696319,1,MDHm,6.05337718803904,100763194,2417,4,4,3.21006644769676,1,MDHm,5.38302251375509,100763194,1985,5,4,3.58777701601941,1,MDHm,5.93880108174057,100763194,2339,6,4,3.6772374175828,1,MDHm,5.86847222509837,100763194,2292,7,4,3.86995149786457,1,MDHm,6.33981464753947,100763194,2620,8,4,3.96437779072734,1,MDHm,6.42142690557295,100763194,2680,9,4,4.15426681187796,1,MDHm,5.82001636433249,100763194,2260,10,4,4.11098044039941,1,MDHm,5.70613024667969,100763194,2186,11,4,4.39252183670374,1,MDHm,6.47243405933384,100763194,2718,12,4,2.5492104787854,1,MDHm,3.35735727540452,100763194,982,13,4,3.85346903128485,1,MDHm,4.97131009942532,100763194,1747,14,4,3.71711633328114,1,MDHm,4.70277676936893,100763194,1602
1,4,4.08196470774445,1,SUCD1m,5.37637578628907,100771246,1981,2,4,4.32323707358203,1,SUCD1m,5.62610343242451,100771246,2135,3,4,4.01139919696319,1,SUCD1m,5.42271838881442,100771246,2009,4,4,3.21006644769676,1,SUCD1m,4.64537085749915,100771246,1572,5,4,3.58777701601941,1,SUCD1m,5.08010697259955,100689402,1808,6,4,3.6772374175828,1,SUCD1m,5.01082179929242,100689402,1769,7,4,3.86995149786457,1,SUCD1m,5.54638235583461,100689402,2085,8,4,3.96437779072734,1,SUCD1m,5.62768496019351,100689402,2136,9,4,4.15426681187796,1,SUCD1m,6.3739817888306,100689402,2645,10,4,4.11098044039941,1,SUCD1m,6.2777191895908,100771246,2575,11,4,4.39252183670374,1,SUCD1m,6.61981314999861,100689402,2830,12,4,2.5492104787854,1,SUCD1m,3.96835729524563,100689402,1243,13,4,3.85346903128485,1,SUCD1m,6.03883383863489,100689402,2407,14,4,3.71711633328114,1,SUCD1m,5.94770844751673,100689402,2345
1,4,4.08196470774445,1,SUCOAS1m,5.9224295832622,100752265,2328,2,4,4.32323707358203,1,SUCOAS1m,6.18098267996568,100752265,2506,3,4,4.01139919696319,1,SUCOAS1m,5.61660374622299,100752265,2129,4,4,3.21006644769676,1,SUCOAS1m,4.58340259722433,100752265,1540,5,4,3.58777701601941,1,SUCOAS1m,5.80019624385233,100752265,2247,6,4,3.6772374175828,1,SUCOAS1m,6.09963366134089,100752265,2449,7,4,3.86995149786457,1,SUCOAS1m,6.13261814923916,100752265,2472,8,4,3.96437779072734,1,SUCOAS1m,6.47243405933384,100752265,2718,9,4,4.15426681187796,1,SUCOAS1m,5.67176585024088,100752265,2164,10,4,4.11098044039941,1,SUCOAS1m,5.55601627018311,100752265,2091,11,4,4.39252183670374,1,SUCOAS1m,5.9684307980783,100752265,2359,12,4,2.5492104787854,1,SUCOAS1m,3.50215266975527,100752265,1041,13,4,3.85346903128485,1,SUCOAS1m,5.33630879392017,100752265,1957,14,4,3.71711633328114,1,SUCOAS1m,5.20554909199757,100752265,1880
1,5,4.32264233224735,1,AASAD3,3.52805965589966,100756509,899,2,5,4.48120623993176,1,AASAD3,4.00819240023642,100756509,1078,3,5,4.31202622533244,1,AASAD3,3.86287859220051,100756509,1022,4,5,3.59465860014025,1,AASAD3,2.69022919975948,100756509,625,5,5,3.7393910917246,1,AASAD3,2.52783332860641,100756509,577,6,5,3.84246342380543,1,AASAD3,2.62994715677571,100756509,607,7,5,4.05596553247665,1,AASAD3,2.99687577921415,100756509,720,8,5,4.10296095762054,1,AASAD3,2.89247464366537,100756509,687,9,5,4.58396477142449,1,AASAD3,4.36592815669666,100756509,1223,10,5,4.58947526964371,1,AASAD3,4.4626064810875,100756509,1264,11,5,4.80345946472161,1,AASAD3,4.55745087010417,100756509,1305,12,5,3.09156320293397,1,AASAD3,2.23029513224994,100756509,493,13,5,4.31274546399167,1,AASAD3,3.45432037272688,100756509,873,14,5,4.16190001401622,1,AASAD3,3.54492307829286,100756509,905
1,5,4.32264233224735,1,AASAD3m,3.52805965589966,100756509,899,2,5,4.48120623993176,1,AASAD3m,4.00819240023642,100756509,1078,3,5,4.31202622533244,1,AASAD3m,3.86287859220051,100756509,1022,4,5,3.59465860014025,1,AASAD3m,2.69022919975948,100756509,625,5,5,3.7393910917246,1,AASAD3m,2.52783332860641,100756509,577,6,5,3.84246342380543,1,AASAD3m,2.62994715677571,100756509,607,7,5,4.05596553247665,1,AASAD3m,2.99687577921415,100756509,720,8,5,4.10296095762054,1,AASAD3m,2.89247464366537,100756509,687,9,5,4.58396477142449,1,AASAD3m,4.36592815669666,100756509,1223,10,5,4.58947526964371,1,AASAD3m,4.4626064810875,100756509,1264,11,5,4.80345946472161,1,AASAD3m,4.55745087010417,100756509,1305,12,5,3.09156320293397,1,AASAD3m,2.23029513224994,100756509,493,13,5,4.31274546399167,1,AASAD3m,3.45432037272688,100756509,873,14,5,4.16190001401622,1,AASAD3m,3.54492307829286,100756509,905
1,5,4.32264233224735,1,ACONTm,8.77515387560026,100759203,4908,2,5,4.48120623993176,1,ACONTm,9.06328595813399,100759203,5260,3,5,4.31202622533244,1,ACONTm,8.7886173640448,100759203,4924,4,5,3.59465860014025,1,ACONTm,6.74150482340338,100759203,2925,5,5,3.7393910917246,1,ACONTm,8.08118677911512,100759203,4139,6,5,3.84246342380543,1,ACONTm,8.51664700371581,100759203,4609,7,5,4.05596553247665,1,ACONTm,8.78273154817973,100759203,4917,8,5,4.10296095762054,1,ACONTm,8.89832921253298,100759203,5056,9,5,4.58396477142449,1,ACONTm,8.73539391648773,100759203,4861,10,5,4.58947526964371,1,ACONTm,8.47566316769492,100759203,4563,11,5,4.80345946472161,1,ACONTm,9.15158847389374,100759203,5372,12,5,3.09156320293397,1,ACONTm,6.20217214521453,100759203,2521,13,5,4.31274546399167,1,ACONTm,8.94334138329191,100759203,5111,14,5,4.16190001401622,1,ACONTm,8.67300527694053,100759203,4788
1,5,4.32264233224735,1,AKGDm,6.38758353824153,100689437,2655,2,5,4.48120623993176,1,AKGDm,6.80313307185656,100689437,2974,3,5,4.31202622533244,1,AKGDm,6.50968809011317,100689437,2746,4,5,3.59465860014025,1,AKGDm,4.88767178557437,100689437,1701,5,5,3.7393910917246,1,AKGDm,4.84162246394715,100689437,1676,6,5,3.84246342380543,1,AKGDm,5.01797231892369,100689437,1773,7,5,4.05596553247665,1,AKGDm,5.25008518637914,100689437,1906,8,5,4.10296095762054,1,AKGDm,5.49630925118453,100689437,2054,9,5,4.58396477142449,1,AKGDm,5.91944717935629,100689437,2326,10,5,4.58947526964371,1,AKGDm,5.91048927908027,100689437,2320,11,5,4.80345946472161,1,AKGDm,6.09819460535168,100689437,2448,12,5,3.09156320293397,1,AKGDm,3.61220495942671,100689437,1087,13,5,4.31274546399167,1,AKGDm,5.74180590602143,100689437,2209,14,5,4.16190001401622,1,AKGDm,5.2654095641164,100689437,1915
1,5,4.32264233224735,1,ATPS4m_cho,-1,3979188,,2,5,4.48120623993176,1,ATPS4m_cho,-1,3979188,,3,5,4.31202622533244,1,ATPS4m_cho,-1,3979188,,4,5,3.59465860014025,1,ATPS4m_cho,-1,3979188,,5,5,3.7393910917246,1,ATPS4m_cho,-1,3979188,,6,5,3.84246342380543,1,ATPS4m_cho,-1,3979188,,7,5,4.05596553247665,1,ATPS4m_cho,-1,3979188,,8,5,4.10296095762054,1,ATPS4m_cho,-1,3979188,,9,5,4.58396477142449,1,ATPS4m_cho,-1,3979188,,10,5,4.58947526964371,1,ATPS4m_cho,-1,3979188,,11,5,4.80345946472161,1,ATPS4m_cho,-1,3979188,,12,5,3.09156320293397,1,ATPS4m_cho,-1,3979188,,13,5,4.31274546399167,1,ATPS4m_cho,-1,3979188,,14,5,4.16190001401622,1,ATPS4m_cho,-1,3979188,
1,5,4.32264233224735,1,ATPtm,10.0104284288625,100769087,6571,2,5,4.48120623993176,1,ATPtm,10.4643715427659,100769087,7293,3,5,4.31202622533244,1,ATPtm,9.69882439159695,100769087,6112,4,5,3.59465860014025,1,ATPtm,7.97552837674634,100769087,4031,5,5,3.7393910917246,1,ATPtm,8.12839784381366,100769087,4188,6,5,3.84246342380543,1,ATPtm,8.62981965694349,100769087,4738,7,5,4.05596553247665,1,ATPtm,8.81710746961799,100769087,4958,8,5,4.10296095762054,1,ATPtm,9.42973342143878,100769087,5738,9,5,4.58396477142449,1,ATPtm,10.0373402102737,100769087,6612,10,5,4.58947526964371,1,ATPtm,10.0978523679488,100769087,6705,11,5,4.80345946472161,1,ATPtm,10.3266587188249,100769087,7067,12,5,3.09156320293397,1,ATPtm,6.44027960768239,100769087,2694,13,5,4.31274546399167,1,ATPtm,8.95554742727383,100769087,5126,14,5,4.16190001401622,1,ATPtm,8.8262902086545,100769087,4969
1,5,4.32264233224735,1,CATm,4.73312587620431,100773774,1618,2,5,4.48120623993176,1,CATm,5.00186924542348,100773774,1764,3,5,4.31202622533244,1,CATm,5.98906761982701,100773774,2373,4,5,3.59465860014025,1,CATm,4.30700063224337,100773774,1402,5,5,3.7393910917246,1,CATm,3.93962793443617,100773774,1230,6,5,3.84246342380543,1,CATm,4.52065667575185,100773774,1508,7,5,4.05596553247665,1,CATm,5.75569694752294,100773774,2218,8,5,4.10296095762054,1,CATm,5.65921091583509,100773774,2156,9,5,4.58396477142449,1,CATm,6.00082195965126,100773774,2381,10,5,4.58947526964371,1,CATm,5.59277526585792,100773774,2114,11,5,4.80345946472161,1,CATm,6.49242608916732,100773774,2733,12,5,3.09156320293397,1,CATm,3.47060682378894,100773774,1028,13,5,4.31274546399167,1,CATm,5.46700275243457,100773774,2036,14,5,4.16190001401622,1,CATm,5.43752346625431,100773774,2018
