symbol.sep,baseMean,log2FoldChange,lfcSE,pvalue,padj
A1BG,1458.79101205709,0.372607648745658,0.0613988445240988,5.45750516835849e-10,3.4606911997862e-09
A1CF,8062.1168420654,-0.144101877691215,0.0349625849496215,3.29659511493343e-05,0.000129573984035601
A2M,159879.594462642,0.458303127073221,0.0207601322303584,2.50753682642348e-108,2.90239246305186e-106
A2M-AS1,15.0695305565774,-0.150212606077984,0.299887798708015,0.270020789493822,0.429858048828023
A2ML1,2.59069061855483,0.0854349169623957,0.308013740685433,0.172338874441984,
A4GALT,2.06177639224506,0.0501907577495177,0.299116252066833,0.21471168490607,
AAAS,1677.37418894856,-0.3317310384346,0.0524698548922875,1.22406815255454e-10,8.15359298179548e-10
AACS,1717.40879530063,0.404720282112189,0.0544911161028621,4.1483841863846e-14,3.56361195770147e-13
AACSP1,4.69004720715057,-0.106923189594208,0.309177652222776,0.230906856034905,0.380050176133391
AADAC,347.040575320831,-0.472730079351442,0.110656514953517,5.39802961208538e-06,2.32190824892427e-05
AADACL2-AS1,5.24692359242543,0.138433226436815,0.325598822364427,0.15158581968683,0.271996903152582
AADACL3,0.708288503047442,-0.0201891041329155,0.296011627434788,0.527549271056903,
AADACP1,4.19244174456067,0.0155486300631804,0.284914298844573,0.850891534201502,0.920839147419208
AADAT,202.956496510437,-0.309461316282996,0.143408288489054,0.0144403951135523,0.0360858044159638
AAED1,252.431422656301,0.171938753116206,0.126277187134251,0.132165657030496,0.243071898118923
AAGAB,2140.19991947136,-0.0953383740421684,0.06509500955472,0.132469790759386,0.243480513537436
AAK1,2147.26543767731,0.195930293940246,0.0538406118562125,0.000211612351096885,0.000745452600454937
AAMDC,303.018243346981,0.236056563508689,0.116985455251577,0.0279714005370261,0.0647015591191916
AAMP,5240.24733338425,-0.176550484961047,0.0352798037122794,4.70635485515253e-07,2.26425844245867e-06
AANAT,6.24546823201501,0.266051235525072,0.476094471293524,0.0173986622410028,0.0426531638627252
AAR2,1368.95955949683,-0.381847048532869,0.057794199844609,1.47746096158123e-11,1.05006944338857e-10
AARD,0.962354280676528,-0.0195642805879838,0.294881651402461,0.628574788046291,
AARS,12172.5025175144,-0.0587329534208515,0.0261584193044168,0.0219200295338276,0.0522498698101735
AARS2,1414.64141293446,-0.00571542807826278,0.0624459037555853,0.924964130336105,0.960743067386467
AARSD1,759.629033283533,-0.566777488132342,0.0786354548584962,1.2146463597541e-13,1.0136269364521e-12
AASDH,308.346322975161,-0.0930166914629477,0.111037693161461,0.365033523722001,0.538279497050353
AASDHPPT,938.738561388477,-0.512765892356723,0.0745852573990935,1.63030529735049e-12,1.25747260602651e-11
AASS,970.402753969421,0.0728566699976571,0.0739191834216975,0.310135026821015,0.477201958386911
AATBC,0.323161162597438,0.0163565348352114,0.296928205990919,0.627722424840582,
AATF,2000.4045889919,-0.518304179283812,0.051770990821981,3.45872496358063e-24,5.05342397342825e-23
AATK,1.97625898313548,0.0159065290211779,0.290918963845695,0.79173265735624,
ABALON,1.6355969801305,0.0369729310686663,0.29504341782771,0.491383044051363,
ABAT,1223.82956200171,0.269823188441318,0.0642845354843349,1.63901513963393e-05,6.65651512052283e-05
ABCA1,4720.30456963277,-0.199540037804587,0.0380366499438796,1.19684972164315e-07,6.10061375129803e-07
ABCA10,38.0240263169728,-0.389988461649014,0.329196847264632,0.0503216958689452,0.10812249624686
ABCA11P,370.564642443118,-0.308584177380846,0.109903230288503,0.00249474135697596,0.00731153644986788
