Entrez,TR1,TR2,TR3,WR1,WR2,WR3
53947,5.76879591057474,1.66937904661829,4.71789481421142,0.685240995574445,0,4.99856072635601
65985,3.74963992195518,3.89865262299185,3.86259823949681,2.99817229410936,3.07768522123979,3.11617095026535
13,3.01851777784983,3.00716287967228,3.1279461202672,3.84143958628199,3.90483148095363,3.79792571651846
51166,3.36905230420162,3.04180408779511,3.12287857160476,3.63868896325547,3.95042594862325,3.61220841583652
15,4.33574543505904,7.14162202488765,2.19162799719942,1.89012761714447,1.81860007808554,0
10157,3.74160049702823,3.59169902446119,3.36540782635329,3.4583369391142,3.44407143064446,3.17458039431449
18,3.76922139110479,3.84826165342943,3.57430297133476,3.13348762039483,3.18231494717535,3.23741075728157
19,3.39013039431842,3.27661591302438,3.30270799398362,3.64015584037573,3.68621720961968,3.48381410539426
21,4.35835848842908,4.8721707505122,3.84509283230725,2.07300319126917,1.81252834217719,3.07887076477459
24,3.00798047245286,3.63710720326813,3.915309733647,4.29879891058335,3.39501778904129,2.29524050057751
10351,3.54784007736531,3.38302354380784,3.2645575744383,2.69844785133099,3.89214125677093,3.90820142494298
5243,3.35627029838208,3.4072174985551,3.59839784743005,3.52110027823844,3.43544458084727,3.47227513691551
8647,2.9629124135863,3.05261776598045,3.13650090552033,3.73062629326259,3.90523103948298,3.90770059004426
5244,3.53819082984929,3.49411362268353,3.60821267084061,3.56744027176968,3.53634863258825,3.02723074535057
4363,3.67946737894236,3.70670885712832,3.54121658269337,3.24298759031197,3.19238872124337,3.407979895716
85320,3.90502138216043,2.83972597933301,2.72101376600839,2.84702304084444,4.37999045618805,3.85049287434477
1244,3.95306287726817,3.9508019505634,4.0280558022653,2.98849060795366,2.88341761094955,2.8134422992038
8714,3.95492181189573,4.54020279036714,4.43362148279867,2.52719854541196,2.4915555365437,2.30025518270083
10257,3.24748821597723,3.0878963373302,3.27299503253139,3.80711559643522,3.69134679224211,3.64494617382609
10057,3.35481734857923,3.31900556034646,3.24951993152165,3.5705571446298,3.68976699734189,3.5949027106432
6833,0,0,9.72955074527657,0,0,0
10060,3.34429965739501,3.31121493545638,3.20237205461582,3.69838790856065,3.67050309395436,3.54659013194857
215,3.9706336017692,3.93374800405649,3.72303094523595,2.91751563566797,3.2533692898585,2.87321330608494
225,3.9180377304442,3.08792031950633,4.41271342322024,2.41344900044246,4.44205256733555,1.98539822200477
5825,3.37771925724685,3.21306367526635,3.21258726237562,3.67393203546271,3.62650527526257,3.6661780897785
9429,4.30996025271863,4.3020818735655,4.41597993427509,2.17031354227558,2.47682348467152,2.54838290218932
64240,4.00927160730802,6.41829981966984,0,4.5518877429593,2.57978307600871,0
64241,4.77616983095517,3.40625941445221,3.7964714048906,2.25454480207231,3.74300924264916,2.36194985291566
28,0,0,0,0,0,9.72955074527657
30,3.65387355744255,3.76064430692438,3.74675202162702,3.15203633465646,3.25740206432421,3.18134991702864
10449,3.44370671430495,3.41117908218285,3.56941644391218,3.48474804932267,3.46036058085792,3.42335893463059
31,3.17703561577425,3.15146838866463,3.1506596181506,3.75208574749141,3.74339041470732,3.76674658660131
32,3.99908366912333,3.86253020344338,3.77174366793634,3.0293416086042,3.00044874091384,3.01701411473605
80724,3.78081978573098,3.7630060650417,3.75393451349047,3.17054857701408,3.25082025885656,3.01483234090955
84129,3.51766578227041,3.69214402689128,3.76493649406289,3.30171822979967,3.16816652707068,3.32178082125348
27034,3.27364719591593,3.1372231484293,3.20742543813831,3.66389263962773,3.80630366845427,3.66528093376277
28976,3.26897673679372,3.33465750474517,3.3255080061165,3.63096536680985,3.65403850835339,3.56544484308738
33,3.53791985984717,5.36387285888337,5.21206537187897,0,3.96809498697484,0
34,3.38553339228221,3.49334376960615,3.3658796618422,3.61172417306928,3.51222546758745,3.42143764479305
35,3.6941944381992,3.71367263909656,3.9578238224229,3.1410737393511,2.91443683152179,3.29409999727959
36,3.34320249455512,3.32025381160215,3.36930396155741,3.66212621451097,3.63497681997257,3.45322237505826
37,3.53162187394352,3.69281807088479,3.6269190912204,3.25459207405605,3.2740366643325,3.39764392658175
38,3.38318821068376,3.49973434158077,3.60564802984815,3.46799739208143,3.43864188289545,3.39587654690699
39,3.86834110821394,3.87487650458514,3.93366397584436,3.03129757487775,3.05165482648059,2.91372595615888
1636,2.2061749252068,3.53084567931352,3.43827513724476,4.62134054386064,2.51367308387707,4.06986067942838
59272,0,0,0,0,0,9.72955074527657
43,4.82338656246167,3.35394812423225,4.79129993474162,2.14273527436755,2.49808498328798,2.4429202871234
47,3.93442490185468,3.87014280215527,3.96196148577856,2.98190355785629,2.9515385800837,2.95617712979291
130013,2.90119278529904,3.33222081574458,2.90287795542017,3.76127422573889,4.1294600618217,3.64612231888699
48,3.38703452413039,3.47483962776858,3.44605184025484,3.50562038271321,3.5116766738045,3.4681574354115
50,3.44429704492886,3.41532948606873,3.4654980791067,3.48412502028517,3.49589294670749,3.48879546669778
641371,3.50983212960155,3.51024690393825,3.43891828508836,3.47086199696984,3.54550648300737,3.31571340186678
134526,3.87258905161004,4.06442331578512,5.09442524881197,2.10158267488069,2.83515268115724,2.09513207665882
10965,3.64667041465858,3.59923747894469,3.39651975412976,3.17935936216779,3.34872204798316,3.60690062598499
122970,4.3418975228866,3.96420358603431,3.63377507988937,3.22053014020351,2.3082116361706,3.07043853804468
11332,3.29714057965727,3.42572723464935,3.34943157814944,3.54556951640551,3.56731696883475,3.60138055560541
10005,3.30569514617687,3.23175035824143,3.44355425400364,3.48446446385394,3.81379419142454,3.49466368561124
51,3.73860340799382,3.66510597800045,3.70525667262944,3.27164568331902,3.32207183189775,3.05186159053429
8309,3.79159555160114,3.5477151055458,3.55095042035132,3.53628271143904,3.10955726201106,3.227582255752
8310,3.58255975072722,3.6206392655656,3.51310297974671,3.2243581272644,3.33667479223728,3.50551171978978
52,3.40938712761901,3.42744016462327,3.48380431516633,3.54907890804945,3.52433896510345,3.39837567039263
53,3.34789953112084,3.25050637984105,3.26994957509438,3.59658503424681,3.51145216690846,3.79525698079125
54,4.59865529640529,4.87565924091954,4.6285500881724,1.71679544854162,1.51861344260183,2.19656208263837
51205,3.46679133795281,3.73836682118918,3.46023116781407,3.45612717039169,3.31586809316265,3.34579790042482
23205,1.04694795382546,3.96519439052857,3.64622710765108,3.86768672538587,3.8051924829586,3.88638298693762
2180,3.41885977891698,3.40151698289326,3.46173130514026,3.53518725577449,3.56207036419899,3.41271973509477
2181,3.68347333064883,3.62873908098376,3.53162299465405,3.40964850482019,3.33344649113062,3.19004126133622
2182,3.57417182443515,3.49971482308897,3.47495770523734,3.56238156230903,3.43894737291544,3.23675783246633
51703,4.25342938955095,4.70212961604499,4.85960173613725,2.52010057154572,1.59576931178373,1.76501392291499
23305,2.78434278972188,2.98562575121428,3.59778944009576,3.9765590054929,3.77024820465967,3.57372594942944
116285,2.96522468672475,4.48630209550701,2.6422833027161,2.97201688127485,0,5.8614419521752
84532,2.98318681442719,4.63144839530797,6.19467948252383,1.84715177273338,2.82664526733913,0
55902,4.68224420593342,4.61446526485001,4.72773729079375,1.8489069218227,1.88923976286798,1.86385364608354
79611,3.69326614165599,3.64861795028082,3.60239308594203,3.25453596283366,3.1962362263497,3.37651526345111
95,3.55390954078885,3.37315498116716,3.46690121955674,3.44163618633869,3.48524398939362,3.47183564278633
91703,3.93855916472895,3.69734005923686,3.53878068310043,3.15072209524589,3.23134338810387,3.18578797294188
97,2.91399395732591,3.77481323300597,2.86574848008828,3.81092120835658,3.66383178396928,3.67096005422854
98,3.94428884800295,3.8856006095528,3.69703350406125,2.68643552287911,3.19240346811738,3.27272836648221
100,2.89850603059869,3.30344751506916,2.76986222498175,3.32853603374777,4.55863288514632,3.7185706507564
107,1.09529703816722,3.81786145963392,3.68943313579167,5.26917365376634,1.26751421870105,4.2943548509531
55811,4.16952569831982,4.21426332697923,3.6684608826753,2.42553869344365,2.84661461422123,3.21070935122016
109,3.63001214502331,2.98040025182366,1.91847083193922,2.88687380769945,4.80022150388953,4.07094332401063
111,3.89966367905811,4.1276437525514,4.24848338069568,2.48223910764893,2.86483021446965,2.8837826259641
112,3.78703583511351,3.84931056308106,3.78835124077108,3.01833061575478,3.14094570551142,3.13361365070338
113,3.52886133958744,3.59804156039711,3.66864503610043,3.30564507107059,3.29658747932791,3.3842702958305
115,3.47556165679626,3.51034043614182,3.31568467405572,3.44578660290893,3.5213342010946,3.52259491915237
124,2.25679634305362,4.5956695032174,3.51180286757093,3.26383346719736,3.4817541919822,3.40704064927262
125,0,0,1.03586252064059,3.19145638254002,3.9767524091308,7.69652005157881
126,2.67216902254453,2.53185830089209,3.25860743191437,1.94309728312684,1.73771956482215,6.70764520955459
127,2.26964863580289,2.14745766743833,2.06921983194507,4.35979290034412,3.50085786018869,5.44403327036365
128,3.19996865118349,3.30706987745709,3.26889610181724,3.67085947289459,3.71128869136801,3.61056440743463
130,3.23089577888414,3.07833526590381,2.68059604601947,4.03984898500511,3.72188712742179,3.90357762548745
137872,4.87836660322386,4.06769681612712,4.83917341707589,2.26455710911238,2.50227990517355,1.06171565007317
132,3.02012620584569,3.15553235712303,3.15519961019241,3.92673519546264,3.92099702193556,3.53391445186905
84890,3.32451063112179,3.43930400720481,3.21939633681525,3.60259513866259,3.45645571373158,3.73486455643242
158,2.96580410546526,3.05380242863728,3.05659931984341,3.85241217335475,3.93086596057993,3.82691544469256
125061,3.47511677162713,3.32789093844937,3.35377297428891,3.52223720095431,3.69301394021097,3.41340974786329
175,3.82782885828904,3.68783345681772,3.54628496561947,3.18132477636952,3.32010230900287,3.19469513865154
178,3.5525581237089,3.47899843305024,3.63232961252086,3.54786072180399,3.38907978357936,3.18077558736045
79814,2.97548817218383,3.13183152995156,3.05481805922211,3.92905098799795,3.77537509084,3.83159539226998
10554,3.40884101493745,3.34388643770202,3.33713706242102,3.50140258770067,3.63355097399386,3.56224945552752
