SampleID_S1,TaskID_S1,TaskScore_S1,BinaryTaskScore_S1,EssentialRxnsTask_S1,ExpressionScoreEssentialRxnsTask_S1,GeneAssociatedToEssentialRxnsTask_S1,GeneExpressionValue_S1,SampleID_S2,TaskID_S2,TaskScore_S2,BinaryTaskScore_S2,EssentialRxnsTask_S2,ExpressionScoreEssentialRxnsTask_S2,GeneAssociatedToEssentialRxnsTask_S2,GeneExpressionValue_S2,SampleID_S3,TaskID_S3,TaskScore_S3,BinaryTaskScore_S3,EssentialRxnsTask_S3,ExpressionScoreEssentialRxnsTask_S3,GeneAssociatedToEssentialRxnsTask_S3,GeneExpressionValue_S3,SampleID_S4,TaskID_S4,TaskScore_S4,BinaryTaskScore_S4,EssentialRxnsTask_S4,ExpressionScoreEssentialRxnsTask_S4,GeneAssociatedToEssentialRxnsTask_S4,GeneExpressionValue_S4,SampleID_S5,TaskID_S5,TaskScore_S5,BinaryTaskScore_S5,EssentialRxnsTask_S5,ExpressionScoreEssentialRxnsTask_S5,GeneAssociatedToEssentialRxnsTask_S5,GeneExpressionValue_S5,SampleID_S6,TaskID_S6,TaskScore_S6,BinaryTaskScore_S6,EssentialRxnsTask_S6,ExpressionScoreEssentialRxnsTask_S6,GeneAssociatedToEssentialRxnsTask_S6,GeneExpressionValue_S6
1,1,-1,-1,NADH2_u10m,-1,4535,,2,1,-1,-1,NADH2_u10m,-1,4535,,3,1,-1,-1,NADH2_u10m,-1,4535,,4,1,-1,-1,NADH2_u10m,-1,4535,,5,1,-1,-1,NADH2_u10m,-1,4535,,6,1,-1,-1,NADH2_u10m,-1,4535,
1,2,3.57712138157193,1,SUCD1m,3.57712138157193,6391,81.845185,2,2,3.59479917745828,1,SUCD1m,3.59479917745828,6391,82.412449,3,2,3.64765177969287,1,SUCD1m,3.64765177969287,6391,84.120451,4,2,3.5516740086198,1,SUCD1m,3.5516740086198,6391,81.032116,5,2,3.69250203371516,1,SUCD1m,3.69250203371516,6391,85.584075,6,2,3.57262721976195,1,SUCD1m,3.57262721976195,6391,81.701291
1,3,1.12020082879287,0,PDHm,3.36060248637862,8050,33.678506,2,3,0.662866962749411,0,PDHm,3.31433481374705,1738,41.665244,3,3,1.09843728983672,0,PDHm,3.29531186951016,8050,32.785696,4,3,1.65639088535493,0,PDHm,3.31278177070986,5162,68.471522,5,3,1.64880445979125,0,PDHm,3.2976089195825,1737,73.137398,6,3,1.60791081352974,0,PDHm,3.21582162705948,1737,70.680146
1,4,2.38238701034342,1,ACONTm,3.59949882239013,50,82.563594,2,4,2.33712488799571,1,ACONTm,3.56963559859496,50,81.605577,3,4,2.39405424505184,1,ACONTm,3.62135200195033,50,83.268282,4,4,2.59558708155493,1,ACONTm,3.64054956187529,50,83.889882,5,4,2.59722803619335,1,ACONTm,3.65267685998975,50,84.283785,6,4,2.71122004918675,1,ACONTm,3.64536273980353,50,84.046103
1,4,2.38238701034342,1,AKGDm,3.36060248637862,8050,33.678506,2,4,2.33712488799571,1,AKGDm,3.27533108350525,1743,70.857696,3,4,2.39405424505184,1,AKGDm,3.29531186951016,8050,32.785696,4,4,2.59558708155493,1,AKGDm,3.52948303340879,1743,78.545779,5,4,2.59722803619335,1,AKGDm,3.5444270602967,1743,79.010115,6,4,2.71122004918675,1,AKGDm,3.37740885495316,1738,42.756654
1,4,2.38238701034342,1,CSm,5.76781805505349,1431,169.905522,2,4,2.33712488799571,1,CSm,5.66546921889691,1431,164.876122,3,4,2.39405424505184,1,CSm,5.78567275235998,1431,170.793493,4,4,2.59558708155493,1,CSm,6.34467505704165,1431,200.260661,5,4,2.59722803619335,1,CSm,6.31242022671978,1431,198.469352,6,4,2.71122004918675,1,CSm,6.26841354568816,1431,196.043954
1,4,2.38238701034342,1,FUMm,3.15377828518674,2271,61.376766,2,4,2.33712488799571,1,FUMm,3.23639466962417,2271,63.56263,3,4,2.39405424505184,1,FUMm,3.24645427149746,2271,63.831262,4,4,2.59558708155493,1,FUMm,3.65828637763021,2271,75.305989,5,4,2.59722803619335,1,FUMm,3.68507992025784,2271,76.085782,6,4,2.71122004918675,1,FUMm,3.77647337581768,2271,78.777333
1,4,2.38238701034342,1,ICDHxm,3.20343375336059,3419,30.475886,2,4,2.33712488799571,1,ICDHxm,3.12893711810075,3419,29.523163,3,4,2.39405424505184,1,ICDHxm,3.16664823414705,3419,30.003669,4,4,2.59558708155493,1,ICDHxm,3.30290622813724,3421,33.629454,5,4,2.59722803619335,1,ICDHxm,3.02739428822573,3421,29.900138,6,4,2.71122004918675,1,ICDHxm,3.56833964893984,3421,37.422022
1,4,2.38238701034342,1,MDHm,6.89641227044029,4191,232.761161,2,4,2.33712488799571,1,MDHm,6.90901661924967,4191,233.546337,3,4,2.39405424505184,1,MDHm,6.86061671626194,4191,230.542073,4,4,2.59558708155493,1,MDHm,7.04952435718559,4191,242.434471,5,4,2.59722803619335,1,MDHm,7.13786923909162,4191,248.15218,6,4,2.71122004918675,1,MDHm,7.19543429991189,4191,251.93254
1,4,2.38238701034342,1,SUCD1m,3.57712138157193,6391,81.845185,2,4,2.33712488799571,1,SUCD1m,3.59479917745828,6391,82.412449,3,4,2.39405424505184,1,SUCD1m,3.64765177969287,6391,84.120451,4,4,2.59558708155493,1,SUCD1m,3.5516740086198,6391,81.032116,5,4,2.59722803619335,1,SUCD1m,3.69250203371516,6391,85.584075,6,4,2.71122004918675,1,SUCD1m,3.57262721976195,6391,81.701291
1,4,2.38238701034342,1,SUCOAS1m,3.06924288815409,8802,65.379609,2,4,2.33712488799571,1,SUCOAS1m,3.16338080152772,8802,68.088357,3,4,2.39405424505184,1,SUCOAS1m,3.10678077435405,8802,66.453624,4,4,2.59558708155493,1,SUCOAS1m,3.5342036526484,8801,19.076095,5,4,2.59722803619335,1,SUCOAS1m,3.48812917384029,8801,18.730837,6,4,2.71122004918675,1,SUCOAS1m,3.34954124992952,8801,17.711304
1,5,5.13273191907424,1,ACONTm,3.59949882239013,50,82.563594,2,5,5.11953760929516,1,ACONTm,3.56963559859496,50,81.605577,3,5,5.14709732734019,1,ACONTm,3.62135200195033,50,83.268282,4,5,4.9794060106414,1,ACONTm,3.64054956187529,50,83.889882,5,5,4.97858202347942,1,ACONTm,3.65267685998975,50,84.283785,6,5,5.00282090835134,1,ACONTm,3.64536273980353,50,84.046103
1,5,5.13273191907424,1,AKGDm,3.36060248637862,8050,33.678506,2,5,5.11953760929516,1,AKGDm,3.27533108350525,1743,70.857696,3,5,5.14709732734019,1,AKGDm,3.29531186951016,8050,32.785696,4,5,4.9794060106414,1,AKGDm,3.52948303340879,1743,78.545779,5,5,4.97858202347942,1,AKGDm,3.5444270602967,1743,79.010115,6,5,5.00282090835134,1,AKGDm,3.37740885495316,1738,42.756654
1,5,5.13273191907424,1,ATPS4m,3.21998831527193,4905,24.413404,2,5,5.11953760929516,1,ATPS4m,3.04077126877016,4905,22.603079,3,5,5.14709732734019,1,ATPS4m,3.07529678224686,4905,22.946804,4,5,4.9794060106414,1,ATPS4m,3.77935626034072,4905,30.499718,5,5,4.97858202347942,1,ATPS4m,3.81215805984975,4905,30.878201,6,5,5.00282090835134,1,ATPS4m,3.79507364905683,4905,30.680763
1,5,5.13273191907424,1,ATPtm,9.99814589701101,292,500.155188,2,5,5.11953760929516,1,ATPtm,9.9917283657004,292,499.413192,3,5,5.14709732734019,1,ATPtm,10.0901943029436,292,510.903302,4,5,4.9794060106414,1,ATPtm,10.5265377971386,292,564.63418,5,5,4.97858202347942,1,ATPtm,10.5917797307695,292,573.078625,6,5,5.00282090835134,1,ATPtm,10.4086560515438,292,549.65304
1,5,5.13273191907424,1,CSm,5.76781805505349,1431,169.905522,2,5,5.11953760929516,1,CSm,5.66546921889691,1431,164.876122,3,5,5.14709732734019,1,CSm,5.78567275235998,1431,170.793493,4,5,4.9794060106414,1,CSm,6.34467505704165,1431,200.260661,5,5,4.97858202347942,1,CSm,6.31242022671978,1431,198.469352,6,5,5.00282090835134,1,CSm,6.26841354568816,1431,196.043954
1,5,5.13273191907424,1,CYOOm3,-1,84701,,2,5,5.11953760929516,1,CYOOm3,-1,84701,,3,5,5.14709732734019,1,CYOOm3,-1,84701,,4,5,4.9794060106414,1,CYOOm3,-1,84701,,5,5,4.97858202347942,1,CYOOm3,-1,84701,,6,5,5.00282090835134,1,CYOOm3,-1,84701,
1,5,5.13273191907424,1,CYOR_u10m,-1,4519,,2,5,5.11953760929516,1,CYOR_u10m,-1,4519,,3,5,5.14709732734019,1,CYOR_u10m,-1,4519,,4,5,4.9794060106414,1,CYOR_u10m,-1,4519,,5,5,4.97858202347942,1,CYOR_u10m,-1,4519,,6,5,5.00282090835134,1,CYOR_u10m,-1,4519,
1,5,5.13273191907424,1,ENO,20.1562162200024,2023,4333.333101,2,5,5.11953760929516,1,ENO,20.1808601716166,2023,4355.130872,3,5,5.14709732734019,1,ENO,20.1540604255844,2023,4331.431389,4,5,4.9794060106414,1,ENO,19.3227243258385,2023,3655.945811,5,5,4.97858202347942,1,ENO,19.3101604564636,2023,3646.574233,6,5,5.00282090835134,1,ENO,19.2631647713748,2023,3611.727494
1,5,5.13273191907424,1,FADH2ETC,8.24071251123493,2109,328.71997,2,5,5.11953760929516,1,FADH2ETC,8.46471098873049,2109,347.369721,3,5,5.14709732734019,1,FADH2ETC,8.2965884207201,2109,333.29419,4,5,4.9794060106414,1,FADH2ETC,7.80504546951311,2109,294.754719,5,5,4.97858202347942,1,FADH2ETC,7.75104216151421,2109,290.746983,6,5,5.00282090835134,1,FADH2ETC,7.81533807019489,2109,295.523485
1,5,5.13273191907424,1,FBA,16.2109461881959,226,1925.782574,2,5,5.11953760929516,1,FBA,16.237405573854,226,1936.416132,3,5,5.14709732734019,1,FBA,16.3320648187607,226,1974.922094,4,5,4.9794060106414,1,FBA,14.2218739101546,226,1268.010465,5,5,4.97858202347942,1,FBA,14.2161787043751,226,1266.477816,6,5,5.00282090835134,1,FBA,14.2597735477897,226,1278.254302
1,5,5.13273191907424,1,FUMm,3.15377828518674,2271,61.376766,2,5,5.11953760929516,1,FUMm,3.23639466962417,2271,63.56263,3,5,5.14709732734019,1,FUMm,3.24645427149746,2271,63.831262,4,5,4.9794060106414,1,FUMm,3.65828637763021,2271,75.305989,5,5,4.97858202347942,1,FUMm,3.68507992025784,2271,76.085782,6,5,5.00282090835134,1,FUMm,3.77647337581768,2271,78.777333
1,5,5.13273191907424,1,GAPD,23.4920873155268,2597,8518.76615,2,5,5.11953760929516,1,GAPD,23.5834730181394,2597,8677.340974,3,5,5.14709732734019,1,GAPD,23.5887281552463,2597,8686.548248,4,5,4.9794060106414,1,GAPD,22.820472629377,2597,7438.178798,5,5,4.97858202347942,1,GAPD,22.7956104931438,2597,7400.89634,6,5,5.00282090835134,1,GAPD,22.8434105915273,2597,7472.740633
1,5,5.13273191907424,1,H2Otm,-1,343,,2,5,5.11953760929516,1,H2Otm,-1,343,,3,5,5.14709732734019,1,H2Otm,-1,343,,4,5,4.9794060106414,1,H2Otm,-1,343,,5,5,4.97858202347942,1,H2Otm,-1,343,,6,5,5.00282090835134,1,H2Otm,-1,343,
1,5,5.13273191907424,1,ICDHxm,3.20343375336059,3419,30.475886,2,5,5.11953760929516,1,ICDHxm,3.12893711810075,3419,29.523163,3,5,5.14709732734019,1,ICDHxm,3.16664823414705,3419,30.003669,4,5,4.9794060106414,1,ICDHxm,3.30290622813724,3421,33.629454,5,5,4.97858202347942,1,ICDHxm,3.02739428822573,3421,29.900138,6,5,5.00282090835134,1,ICDHxm,3.56833964893984,3421,37.422022
1,5,5.13273191907424,1,LDH_L,15.2472324764742,3939,1574.45216,2,5,5.11953760929516,1,LDH_L,15.342700312377,3939,1606.31261,3,5,5.14709732734019,1,LDH_L,15.3250262125465,3939,1600.368261,4,5,4.9794060106414,1,LDH_L,12.6795250227654,3939,910.655053,5,5,4.97858202347942,1,LDH_L,12.6266970246213,3939,900.26098,6,5,5.00282090835134,1,LDH_L,12.5258877184041,3939,880.728599
1,5,5.13273191907424,1,LDH_Lm,15.2472324764742,3939,1574.45216,2,5,5.11953760929516,1,LDH_Lm,15.342700312377,3939,1606.31261,3,5,5.14709732734019,1,LDH_Lm,15.3250262125465,3939,1600.368261,4,5,4.9794060106414,1,LDH_Lm,12.6795250227654,3939,910.655053,5,5,4.97858202347942,1,LDH_Lm,12.6266970246213,3939,900.26098,6,5,5.00282090835134,1,LDH_Lm,12.5258877184041,3939,880.728599
1,5,5.13273191907424,1,L_LACtm,3.16229173838035,6566,68.561982,2,5,5.11953760929516,1,L_LACtm,3.18826911293589,6566,69.323934,3,5,5.14709732734019,1,L_LACtm,3.28076508283141,6566,72.069337,4,5,4.9794060106414,1,L_LACtm,3.75035233072306,6566,86.818384,5,5,4.97858202347942,1,L_LACtm,3.72432135345323,6566,85.964021,6,5,5.00282090835134,1,L_LACtm,3.64995767590386,6566,83.547691
