Entrez,TRAb_R1,TRAb_R2,TRAb_R3,WTAb_R1,WTAb_R2,WTAb_R3
10768,21.4657135,21.15081406,21.34973907,30.15532875,29.83608246,30.22974586
23382,21.4657135,21.15081406,21.34973907,30.15532875,29.83608246,30.22974586
58,21.47497177,21.53647232,21.93684959,27.60448837,26.64292526,27.70931625
70,21.47497177,21.53647232,21.93684959,27.60448837,26.64292526,27.70931625
72,21.47497177,21.53647232,21.93684959,27.60448837,26.64292526,27.70931625
59,21.47497177,21.53647232,21.93684959,27.60448837,26.64292526,27.70931625
80380,27.03632545,24.77162933,26.49707413,21.88423729,20.22800827,21.34528732
3094,26.29224968,25.30054665,25.8241291,22.01403427,20.63311577,20.16556549
55787,20.64269829,21.56855392,20.50752068,26.44945908,26.59306145,26.65948868
9445,23.94037819,23.70819855,24.18918228,20.77647972,21.21578026,20.30717659
6133,21.79723167,21.71571732,20.99923515,24.99920654,24.11917877,24.19842911
6165,21.76678467,20.35550499,21.94152641,24.23790359,25.11743546,25.32092857
4052,24.78676033,23.66849899,24.54220963,21.13282013,20.89921951,21.75747108
11041,21.76504135,21.01402855,21.45632362,24.2151947,24.62081146,24.26535034
29979,25.76134109,22.30825996,26.39718437,20.17676163,21.5018692,20.01736641
7840,28.46010017,27.94631386,28.45430756,27.26740456,22.05304718,20.13921356
79571,21.92128944,21.78124809,21.34407997,24.71334839,24.96644402,23.53658867
28971,24.3780899,21.70936012,25.74342537,20.61439514,20.02906799,20.04745102
10209,23.23118019,22.86162376,25.24139977,21.16625977,21.08396149,20.90017509
10289,23.23118019,22.86162376,25.24139977,21.16625977,21.08396149,20.90017509
7163,23.54297638,22.4384594,24.46967125,21.05051994,21.74674034,20.21062469
91949,21.7491684,21.21495628,20.79695511,23.52336693,23.08216095,23.27611351
483,21.07384491,21.49938202,21.66076279,23.95588875,23.64350319,24.08545494
5202,24.95153809,21.84193993,26.26176834,20.12056351,20.26472664,21.13977623
51100,24.44714165,23.21520805,25.11418152,20.01161575,22.45593262,21.61088753
65992,23.83634186,23.60501099,24.56284714,22.79286957,21.26133347,21.03680611
25796,24.46973419,21.81276131,25.02403069,21.42103958,20.88039017,20.75428581
83548,20.6473999,22.26252937,20.34575272,23.91897964,23.56801987,23.4124794
83658,25.49347496,22.18527222,26.16469002,20.84563637,21.33425903,21.91662788
83657,25.49347496,22.18527222,26.16469002,20.84563637,21.33425903,21.91662788
56904,22.32695961,22.19081497,22.86761284,21.0109005,20.20608139,20.05392647
23062,21.31635094,21.33080864,21.0380249,23.49972153,23.49252892,22.79042435
27344,26.59832573,21.40313911,27.73046112,21.37230492,23.57623291,19.47625542
23576,26.00049782,20.38559341,26.10854912,20.63407135,20.71876526,19.18169975
55740,23.54863167,21.06268692,24.13868141,20.10521889,20.72115517,19.62384033
11231,21.21508217,20.34710312,22.08810043,23.50954056,23.98041534,23.97508812
6741,23.80931282,23.7634449,24.14297104,22.9997921,21.08786774,20.03320122
2287,24.2795887,20.9603405,26.39564896,21.10491943,20.64084625,19.67165184
113178,24.93003464,22.44061852,20.92368889,25.59900665,25.60980988,25.5601387
3949,22.61205101,22.83155632,23.01125336,20.53961372,20.84879494,21.16758156
